iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.933663495381673,0.0006,0,0.0,mla_norope,42
500,6.167505621910095,6.160467685858409,0.0001497,16384000,242.2,mla_norope,42
1000,5.30249559879303,5.369512190818787,0.00029969999999999997,32768000,463.4,mla_norope,42
1500,4.8891521692276,4.873657535711924,0.0004496999999999999,49152000,684.7,mla_norope,42
2000,4.529748439788818,4.591558369000753,0.0005996999999999999,65536000,906.0,mla_norope,42
2500,4.396765351295471,4.443687600294749,0.0005981266088736952,81920000,1127.3,mla_norope,42
3000,4.241685152053833,4.331002635161082,0.0005925175294683882,98304000,1348.6,mla_norope,42
3500,4.239728689193726,4.2654086069266,0.0005832509032072879,114688000,1569.8,mla_norope,42
4000,4.1619250774383545,4.208206329345703,0.0005704558381153472,131072000,1791.1,mla_norope,42
4500,4.151160478591919,4.1643612190087635,0.0005543106024788456,147456000,2012.5,mla_norope,42
5000,4.087119460105896,4.136202677090963,0.000535040141107975,163840000,2233.7,mla_norope,42
5500,3.9353857040405273,4.093718982537587,0.0005129129412749549,180224000,2455.5,mla_norope,42
6000,3.995778441429138,4.063033448855082,0.00048823729199324884,196608000,2676.8,mla_norope,42
6500,3.892340838909149,4.034201186100642,0.00046135698875578174,212992000,2898.1,mla_norope,42
7000,3.994510054588318,4.020361477533976,0.000432646543576239,229376000,3119.4,mla_norope,42
7500,3.9024940729141235,3.9968235524495443,0.00040250596706994045,245760000,3340.7,mla_norope,42
8000,3.8967063426971436,3.967437667051951,0.00037135519527336944,262144000,3562.0,mla_norope,42
8500,3.858451247215271,3.9453506934642792,0.00033962823885115036,278528000,3783.3,mla_norope,42
9000,3.814292073249817,3.9319125477472943,0.00030776713620712216,294912000,4004.6,mla_norope,42
9500,3.8517001271247864,3.915964093605677,0.0002762157947482825,311296000,4225.9,mla_norope,42
10000,3.800915479660034,3.895810844898224,0.00024541380610869324,327680000,4447.1,mla_norope,42
10500,3.768705725669861,3.872236893971761,0.00021579032150324256,344064000,4668.9,mla_norope,42
11000,3.7806195616722107,3.8676767098903655,0.0001877580725433998,360448000,4890.2,mla_norope,42
11500,3.7413010597229004,3.8449173545837403,0.00016170762082042857,376832000,5111.5,mla_norope,42
12000,3.767340302467346,3.8338357424736023,0.0001380019163742152,393216000,5332.8,mla_norope,42
12500,3.7232940793037415,3.8169706972440083,0.00011697124086228238,409600000,5554.0,mla_norope,42
13000,3.766641080379486,3.8037855275472006,9.890860588370181e-05,425984000,5775.2,mla_norope,42
13500,3.6250751614570618,3.8023412923018136,8.406567057113034e-05,442368000,5996.4,mla_norope,42
14000,3.6657642126083374,3.790165023803711,7.264923532945212e-05,458752000,6217.6,mla_norope,42
14500,3.6228776574134827,3.78716143488884,6.481836057229788e-05,475136000,6438.7,mla_norope,42
15000,3.7146189212799072,3.79346972544988,6.068215059988e-05,491520000,6659.9,mla_norope,42
