iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.92257219950358,0.0006,0,0.0,mha,456
500,6.13901960849762,6.158149998188019,0.0001497,16384000,224.1,mha,456
1000,5.39441180229187,5.363702956835429,0.00029969999999999997,32768000,428.6,mha,456
1500,4.8675233125686646,4.865070616404216,0.0004496999999999999,49152000,633.0,mha,456
2000,4.585293531417847,4.595824960072835,0.0005996999999999999,65536000,837.4,mha,456
2500,4.475211143493652,4.430303462346395,0.0005981266088736952,81920000,1041.9,mha,456
3000,4.276102781295776,4.312215261061986,0.0005925175294683882,98304000,1246.3,mha,456
3500,4.073236048221588,4.249417642354965,0.0005832509032072879,114688000,1450.8,mha,456
4000,4.149850010871887,4.19795138835907,0.0005704558381153472,131072000,1655.7,mha,456
4500,4.107747554779053,4.149320776462555,0.0005543106024788456,147456000,1860.2,mha,456
5000,4.124342918395996,4.119097063541412,0.000535040141107975,163840000,2064.6,mha,456
5500,4.000478267669678,4.087643724282582,0.0005129129412749549,180224000,2269.8,mha,456
6000,4.008462429046631,4.058683058420817,0.00048823729199324884,196608000,2474.2,mha,456
6500,3.9506595134735107,4.027820887962977,0.00046135698875578174,212992000,2678.7,mha,456
7000,3.9185162782669067,4.002398850123088,0.000432646543576239,229376000,2883.1,mha,456
7500,3.949953854084015,3.9776361747582754,0.00040250596706994045,245760000,3087.6,mha,456
8000,3.9051599502563477,3.9562091680367786,0.00037135519527336944,262144000,3292.1,mha,456
8500,3.947857141494751,3.9431534341971077,0.00033962823885115036,278528000,3496.5,mha,456
9000,3.872217535972595,3.923729201952616,0.00030776713620712216,294912000,3700.9,mha,456
9500,3.7726840376853943,3.9056701135635374,0.0002762157947482825,311296000,3905.4,mha,456
10000,3.742397725582123,3.881542989810308,0.00024541380610869324,327680000,4109.8,mha,456
10500,3.817406713962555,3.8596998608112334,0.00021579032150324256,344064000,4314.9,mha,456
11000,3.8458917140960693,3.8495213154951733,0.0001877580725433998,360448000,4519.3,mha,456
11500,3.8237929344177246,3.833679798046748,0.00016170762082042857,376832000,4723.8,mha,456
12000,3.7645049691200256,3.8205736068884533,0.0001380019163742152,393216000,4928.3,mha,456
12500,3.753474235534668,3.804693926970164,0.00011697124086228238,409600000,5132.7,mha,456
13000,3.7367992997169495,3.799656306505203,9.890860588370181e-05,425984000,5337.2,mha,456
13500,3.7306395769119263,3.783046106894811,8.406567057113034e-05,442368000,5541.6,mha,456
14000,3.720089375972748,3.7793158507347107,7.264923532945212e-05,458752000,5746.1,mha,456
14500,3.7616594433784485,3.769505249261856,6.481836057229788e-05,475136000,5950.5,mha,456
15000,3.644345760345459,3.7688873525460562,6.068215059988e-05,491520000,6155.0,mha,456
