iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.924470144907634,0.006784113370037328,2.6237340927124024,0.21506226062774658,0.617571195288238,0.0,0,38.4,nan,5.177734375,mla_decoupled,moe,42,100042,200042
500,6.145589470863342,6.151372671127319,0.005783139495179057,6.109547431468964,0.005680893048023184,2.1709970474243163,0.10439086705446243,0.29186834254739247,0.0001497,16384000,408.5,40107.369896756885,8.783203125,mla_decoupled,moe,42,100042,200042
1000,5.207565784454346,5.213314652442932,0.005748702096752822,5.309843675295512,0.00572467455950876,1.9796276330947875,0.1090686023235321,0.28851688359754696,0.00029969999999999997,32768000,775.9,42233.451843190014,9.365234375,mla_decoupled,moe,42,100042,200042
1500,4.837523102760315,4.84325909614563,0.005736045306548476,4.8961629883448285,0.005682152554703256,1.9891350030899049,0.10359497368335724,0.28531493291524884,0.0004496999999999999,49152000,1143.9,42970.18938949765,9.365234375,mla_decoupled,moe,42,100042,200042
2000,4.538252472877502,4.543859243392944,0.005606744671240449,4.606337145169576,0.005696850957659384,2.0142189025878907,0.10638183355331421,0.298189036104265,0.0005996999999999999,65536000,1511.2,43366.73377195806,9.365234375,mla_decoupled,moe,42,100042,200042
2500,4.438455581665039,4.444159269332886,0.005703627364709973,4.4274905395507815,0.0056985522635901965,2.0081058979034423,0.12126220762729645,0.3281533535657998,0.0005981266088736952,81920000,1879.4,43588.16465961325,9.365234375,mla_decoupled,moe,42,100042,200042
3000,4.204963564872742,4.210721135139465,0.005757474224083126,4.3179642168680825,0.005734555467497558,1.9869261980056763,0.12636230885982513,0.32559986163042215,0.0005925175294683882,98304000,2246.9,43751.46096868209,9.365234375,mla_decoupled,moe,42,100042,200042
3500,4.306787014007568,4.312562346458435,0.005775309517048299,4.241207370758056,0.00572412978236874,1.9749149560928345,0.12578734755516052,0.3213928293294982,0.0005832509032072879,114688000,2615.2,43854.63615577262,9.365234375,mla_decoupled,moe,42,100042,200042
4000,4.1812028884887695,4.186889171600342,0.005686166929081082,4.183904778162638,0.005718649805833896,1.9587371349334717,0.11997680366039276,0.3029282438064927,0.0005704558381153472,131072000,2982.7,43944.363451842764,9.365234375,mla_decoupled,moe,42,100042,200042
4500,4.035719513893127,4.041307032108307,0.005587463732808828,4.132979674339294,0.005699897629674524,1.960929560661316,0.12308593839406967,0.29044086402059055,0.0005543106024788456,147456000,3350.9,44004.314260369174,9.365234375,mla_decoupled,moe,42,100042,200042
5000,4.087136626243591,4.092852592468262,0.005715995444916189,4.092033133904139,0.005715561925899238,1.9484867811203004,0.13092774152755737,0.295223305000193,0.000535040141107975,163840000,3718.5,44060.847328694166,9.365234375,mla_decoupled,moe,42,100042,200042
5500,4.008398532867432,4.014153182506561,0.005754637182690203,4.059397727251053,0.005708047127506386,1.9403311491012574,0.12836669385433197,0.28081156212690084,0.0005129129412749549,180224000,4087.5,44091.80370596519,9.365234375,mla_decoupled,moe,42,100042,200042
6000,3.8503904938697815,3.8561267852783203,0.00573631061706692,4.025984199047088,0.005702614678690831,1.9280947685241698,0.12900756299495697,0.2921924691215718,0.00048823729199324884,196608000,4455.0,44132.43127990612,9.365234375,mla_decoupled,moe,42,100042,200042
