iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.913126366933186,0.0066095545647355414,2.622765064239502,0.1657080054283142,0.5367298760358953,0.0,0,37.5,nan,5.177734375,mla_decoupled,moe,123,100123,200123
500,6.048459053039551,6.0540419816970825,0.005582991405390203,6.118002656300862,0.005653183249911914,2.216491222381592,0.11096435785293579,0.33349756433825045,0.0001497,16384000,405.7,40388.20614240385,8.79296875,mla_decoupled,moe,123,100123,200123
1000,5.252542853355408,5.2581950426101685,0.005652263411320746,5.3047084418932595,0.0056322984490543605,1.9645195960998536,0.10234618932008743,0.2553871221897506,0.00029969999999999997,32768000,773.2,42381.23288193223,9.337890625,mla_decoupled,moe,123,100123,200123
1500,4.749378681182861,4.754937052726746,0.005558422883041203,4.855975952148437,0.005613132362098743,1.9456668615341186,0.10043945163488388,0.2861139067950502,0.0004496999999999999,49152000,1141.0,43076.6588106386,9.337890625,mla_decoupled,moe,123,100123,200123
2000,4.61996591091156,4.62551736831665,0.005551397451199591,4.596319150924683,0.005593355610811462,1.979114818572998,0.10063842684030533,0.2634625623071401,0.0005996999999999999,65536000,1508.2,43453.26469131647,9.337890625,mla_decoupled,moe,123,100123,200123
2500,4.34462571144104,4.350333094596863,0.005707406089641154,4.416650549570719,0.005583999555868407,1.9638754844665527,0.10321532934904099,0.2516851040155805,0.0005981266088736952,81920000,1876.5,43656.08297897472,9.337890625,mla_decoupled,moe,123,100123,200123
3000,4.274731278419495,4.280252575874329,0.005521373706869781,4.313841287295023,0.0056085497171928485,1.945511269569397,0.10642211884260178,0.28687607937043613,0.0005925175294683882,98304000,2243.9,43809.864095115234,9.337890625,mla_decoupled,moe,123,100123,200123
3500,4.173195719718933,4.178758263587952,0.005562674603424966,4.24142010529836,0.005577519886816542,1.938428568840027,0.11000610142946243,0.239891789504547,0.0005832509032072879,114688000,2612.0,43908.65321290365,9.337890625,mla_decoupled,moe,123,100123,200123
4000,4.031798243522644,4.037332355976105,0.005534169147722423,4.177255881230036,0.005609177479054778,1.915374517440796,0.10869751125574112,0.26143410862909205,0.0005704558381153472,131072000,2979.3,43994.530196633175,9.337890625,mla_decoupled,moe,123,100123,200123
4500,3.978868544101715,3.9843971729278564,0.005528606125153601,4.138964940309524,0.005575933681490521,1.9189576148986816,0.11355835199356079,0.26702407131450584,0.0005543106024788456,147456000,3347.5,44049.026844574226,9.337890625,mla_decoupled,moe,123,100123,200123
5000,4.021075963973999,4.026645302772522,0.0055692935129627585,4.090940227508545,0.0056203773687593635,1.8966232061386108,0.10993896424770355,0.28075034275320015,0.000535040141107975,163840000,3715.2,44099.35175611735,9.337890625,mla_decoupled,moe,123,100123,200123
5500,4.012322008609772,4.0179654359817505,0.00564337451942265,4.052942567269008,0.005603239741176367,1.8892634630203247,0.11151611059904099,0.27006386000680943,0.0005129129412749549,180224000,4083.4,44135.461835255555,9.337890625,mla_decoupled,moe,123,100123,200123
6000,4.019072532653809,4.0246976017951965,0.005625090911053121,4.027801863749822,0.005605666152356813,1.8887009143829345,0.11405883729457855,0.2645268988745793,0.00048823729199324884,196608000,4450.7,44174.350546254536,9.337890625,mla_decoupled,moe,123,100123,200123
6500,3.8739880323410034,3.8795999884605408,0.005611940287053585,3.9963848614692687,0.00561649880449598,1.8687212467193604,0.11139770597219467,0.2613167350690374,0.00046135698875578174,212992000,4818.7,44200.75757783765,9.337890625,mla_decoupled,moe,123,100123,200123
7000,3.8429605960845947,3.848747193813324,0.005786634865216911,3.967473499774933,0.005608806856907904,1.8681290864944458,0.11488159000873566,0.2745559115311305,0.000432646543576239,229376000,5185.9,44230.689289027905,9.337890625,mla_decoupled,moe,123,100123,200123
7500,3.97804057598114,3.983677864074707,0.005637224996462464,3.946155770222346,0.005614675486770769,1.8671655654907227,0.11155029386281967,0.2426096942241609,0.00040250596706994045,245760000,5554.1,44248.55713668059,9.337890625,mla_decoupled,moe,123,100123,200123
8000,3.869755268096924,3.875354588031769,0.00559933646582067,3.918614770571391,0.005610402463159214,1.8559003114700316,0.11151977628469467,0.24921062191312907,0.00037135519527336944,262144000,5921.2,44271.77372887163,9.337890625,mla_decoupled,moe,123,100123,200123
8500,3.862207591533661,3.8678003549575806,0.005592800909653306,3.894277427196503,0.005604090595152229,1.851422667503357,0.11258666962385178,0.2510221136003362,0.00033962823885115036,278528000,6289.3,44285.81419259899,9.337890625,mla_decoupled,moe,123,100123,200123
9000,3.884400486946106,3.8899590373039246,0.005558546050451696,3.882178820768992,0.005605704626068473,1.8469379186630248,0.11158691346645355,0.25553017069711914,0.00030776713620712216,294912000,6656.3,44305.411745199606,9.337890625,mla_decoupled,moe,123,100123,200123
9500,3.860423505306244,3.8660119771957397,0.0055884504690766335,3.8516184834639233,0.00562371222069487,1.8421429634094237,0.11281738430261612,0.24209467546468427,0.0002762157947482825,311296000,7025.2,44311.38826416108,9.337890625,mla_decoupled,moe,123,100123,200123
10000,3.807262659072876,3.812922954559326,0.005660333437845111,3.836830156246821,0.005608459641225636,1.839055609703064,0.11337768286466599,0.23570560458300763,0.00024541380610869324,327680000,7392.2,44327.66224486498,9.337890625,mla_decoupled,moe,123,100123,200123
10500,3.7845131754875183,3.7901660203933716,0.005652838619425893,3.818379069964091,0.005615174484749635,1.8389769077301026,0.11300292611122131,0.2369132705421244,0.00021579032150324256,344064000,7759.9,44338.5013365389,9.337890625,mla_decoupled,moe,123,100123,200123
11000,3.724885582923889,3.730476498603821,0.005590913584455848,3.7953772711753846,0.005619352609695246,1.8390774250030517,0.11330810189247131,0.2368950175171185,0.0001877580725433998,360448000,8126.8,44353.007007242864,9.337890625,mla_decoupled,moe,123,100123,200123
11500,3.728102385997772,3.7337130904197693,0.005610683583654463,3.7813403328259785,0.005608853004717578,1.8339107990264893,0.11362671107053757,0.23035801885057391,0.00016170762082042857,376832000,8494.7,44361.04064016431,9.337890625,mla_decoupled,moe,123,100123,200123
12000,3.6894028782844543,3.694999039173126,0.0055961437756195664,3.762476687033971,0.005610260113608092,1.830893063545227,0.11133789271116257,0.2239246381353553,0.0001380019163742152,393216000,8861.6,44372.96289562875,9.337890625,mla_decoupled,moe,123,100123,200123
12500,3.706081807613373,3.7117214798927307,0.005639632232487202,3.760058584213257,0.00560730000725016,1.8274227142333985,0.1145007312297821,0.2320621382150292,0.00011697124086228238,409600000,9229.2,44380.68704830289,9.337890625,mla_decoupled,moe,123,100123,200123
13000,3.7194525003433228,3.7252016067504883,0.005749097093939781,3.7422541864713033,0.005603200569748878,1.8250906705856322,0.11412841826677322,0.2213606014395721,9.890860588370181e-05,425984000,9596.6,44388.94196495953,9.337890625,mla_decoupled,moe,123,100123,200123
13500,3.698384702205658,3.703947603702545,0.005562888225540519,3.737083637714386,0.005611191289499402,1.8189969539642334,0.1143176257610321,0.22258427699431227,8.406567057113034e-05,442368000,9980.0,44325.410061578805,9.337890625,mla_decoupled,moe,123,100123,200123
14000,3.6142019033432007,3.6197938919067383,0.005591992870904505,3.7220139344533285,0.005608450390864164,1.8216917991638184,0.11234740912914276,0.21633125981468684,7.264923532945212e-05,458752000,10351.2,44318.59194245502,9.337890625,mla_decoupled,moe,123,100123,200123
14500,3.646222233772278,3.6518139839172363,0.005591724417172372,3.722010674873988,0.005602797280686597,1.8170597553253174,0.11412719637155533,0.2195558771824242,6.481836057229788e-05,475136000,10731.6,44274.57075962729,9.337890625,mla_decoupled,moe,123,100123,200123
15000,3.6095082759857178,3.615137040615082,0.005628743558190763,3.7214672350883484,0.005602485458366573,1.8167183876037598,0.11536254733800888,0.22994823496489075,6.068215059988e-05,491520000,11099.5,44283.11112740876,9.337890625,mla_decoupled,moe,123,100123,200123
