iter,attn_mode,backbone,seed,layer,expert,selected_fraction,mean_probability,router_entropy
500,mla_decoupled,moe,456,4,13,0.04854004085063934,0.05058318004012108,1.978675127029419
500,mla_decoupled,moe,456,4,14,0.07498413324356079,0.09209693968296051,1.978675127029419
500,mla_decoupled,moe,456,4,15,0.08168213069438934,0.066518634557724,1.978675127029419
500,mla_decoupled,moe,456,5,0,0.09478759765625,0.0783330649137497,2.07669734954834
500,mla_decoupled,moe,456,5,1,0.04932495206594467,0.05143897607922554,2.07669734954834
500,mla_decoupled,moe,456,5,2,0.04842773452401161,0.06144007295370102,2.07669734954834
500,mla_decoupled,moe,456,5,3,0.07826659828424454,0.07675040513277054,2.07669734954834
500,mla_decoupled,moe,456,5,4,0.07905517518520355,0.0691303089261055,2.07669734954834
500,mla_decoupled,moe,456,5,5,0.054560545831918716,0.06797690689563751,2.07669734954834
500,mla_decoupled,moe,456,5,6,0.07203735411167145,0.06310123205184937,2.07669734954834
500,mla_decoupled,moe,456,5,7,0.08459839224815369,0.07404875755310059,2.07669734954834
500,mla_decoupled,moe,456,5,8,0.04290771484375,0.04734233021736145,2.07669734954834
500,mla_decoupled,moe,456,5,9,0.03306030109524727,0.04231596365571022,2.07669734954834
500,mla_decoupled,moe,456,5,10,0.016127929091453552,0.03202830255031586,2.07669734954834
500,mla_decoupled,moe,456,5,11,0.08679931610822678,0.07829764485359192,2.07669734954834
500,mla_decoupled,moe,456,5,12,0.05535644665360451,0.06026264280080795,2.07669734954834
500,mla_decoupled,moe,456,5,13,0.07436645776033401,0.0810943990945816,2.07669734954834
500,mla_decoupled,moe,456,5,14,0.06692260503768921,0.05237574130296707,2.07669734954834
500,mla_decoupled,moe,456,5,15,0.06340087950229645,0.06406324356794357,2.07669734954834
1000,mla_decoupled,moe,456,1,0,0.07148315757513046,0.06259670108556747,2.4317243099212646
1000,mla_decoupled,moe,456,1,1,0.05231567472219467,0.057906173169612885,2.4317243099212646
1000,mla_decoupled,moe,456,1,2,0.06563232094049454,0.06622398644685745,2.4317243099212646
1000,mla_decoupled,moe,456,1,3,0.07640991359949112,0.06578656286001205,2.4317243099212646
1000,mla_decoupled,moe,456,1,4,0.072906494140625,0.06254732608795166,2.4317243099212646
1000,mla_decoupled,moe,456,1,5,0.04484497010707855,0.055186714977025986,2.4317243099212646
1000,mla_decoupled,moe,456,1,6,0.05061279237270355,0.059382665902376175,2.4317243099212646
1000,mla_decoupled,moe,456,1,7,0.07537597417831421,0.06424984335899353,2.4317243099212646
1000,mla_decoupled,moe,456,1,8,0.046241454780101776,0.05301252380013466,2.4317243099212646
1000,mla_decoupled,moe,456,1,9,0.057093504816293716,0.06228499487042427,2.4317243099212646
1000,mla_decoupled,moe,456,1,10,0.07970336824655533,0.06752172857522964,2.4317243099212646
1000,mla_decoupled,moe,456,1,11,0.061072997748851776,0.06383652985095978,2.4317243099212646
1000,mla_decoupled,moe,456,1,12,0.047667235136032104,0.05791017413139343,2.4317243099212646
1000,mla_decoupled,moe,456,1,13,0.0674755871295929,0.06829032301902771,2.4317243099212646
