iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,10.951741663614909,0.0,0,0.0,mla_current,42,100042,200042
500,6.195046067237854,6.2000123635927835,0.0001497,16384000,267.4,mla_current,42,100042,200042
1000,5.375106692314148,5.403207057317098,0.00029969999999999997,32768000,511.6,mla_current,42,100042,200042
1500,4.919838309288025,4.944778248469035,0.0004496999999999999,49152000,755.8,mla_current,42,100042,200042
2000,4.61457622051239,4.633871739705404,0.0005996999999999999,65536000,999.8,mla_current,42,100042,200042
2500,4.436163425445557,4.455286600589752,0.0005981266088736952,81920000,1244.0,mla_current,42,100042,200042
3000,4.376222610473633,4.344531067212423,0.0005925175294683882,98304000,1489.0,mla_current,42,100042,200042
3500,4.1812379360198975,4.267422653436661,0.0005832509032072879,114688000,1734.0,mla_current,42,100042,200042
4000,4.183792352676392,4.224287472963333,0.0005704558381153472,131072000,1979.0,mla_current,42,100042,200042
4500,4.15289831161499,4.171255672375361,0.0005543106024788456,147456000,2223.5,mla_current,42,100042,200042
5000,4.057883441448212,4.132577498356501,0.000535040141107975,163840000,2467.7,mla_current,42,100042,200042
5500,4.150691628456116,4.110008356173833,0.0005129129412749549,180224000,2712.7,mla_current,42,100042,200042
6000,4.0015241503715515,4.0800393029054005,0.00048823729199324884,196608000,2957.7,mla_current,42,100042,200042
6500,3.954187572002411,4.053860682249069,0.00046135698875578174,212992000,3202.7,mla_current,42,100042,200042
7000,3.8765485286712646,4.032525136470794,0.000432646543576239,229376000,3447.7,mla_current,42,100042,200042
7500,3.912416458129883,4.0049300710360205,0.00040250596706994045,245760000,3692.7,mla_current,42,100042,200042
8000,3.897548198699951,3.9846958450476326,0.00037135519527336944,262144000,3937.6,mla_current,42,100042,200042
8500,3.996015787124634,3.9598616166909535,0.00033962823885115036,278528000,4182.6,mla_current,42,100042,200042
9000,4.01401674747467,3.944784586429596,0.00030776713620712216,294912000,4427.6,mla_current,42,100042,200042
9500,3.8526185750961304,3.923731428384781,0.0002762157947482825,311296000,4672.6,mla_current,42,100042,200042
10000,3.8431358337402344,3.9057475320498147,0.00024541380610869324,327680000,4917.7,mla_current,42,100042,200042
10500,3.817919671535492,3.879848996400833,0.00021579032150324256,344064000,5163.9,mla_current,42,100042,200042
11000,3.8798280358314514,3.884328400293986,0.0001877580725433998,360448000,5408.8,mla_current,42,100042,200042
11500,3.5988659262657166,3.8534859919548037,0.00016170762082042857,376832000,5653.7,mla_current,42,100042,200042
12000,3.8082907795906067,3.8444249033927917,0.0001380019163742152,393216000,5898.7,mla_current,42,100042,200042
12500,3.748876214027405,3.8271689502398174,0.00011697124086228238,409600000,6143.5,mla_current,42,100042,200042
13000,3.761610209941864,3.8187955820560457,9.890860588370181e-05,425984000,6388.5,mla_current,42,100042,200042
13500,3.760260045528412,3.8113210185368858,8.406567057113034e-05,442368000,6633.5,mla_current,42,100042,200042
14000,3.8166574239730835,3.7975149218241375,7.264923532945212e-05,458752000,6878.5,mla_current,42,100042,200042
14500,3.736744523048401,3.8032182125250498,6.481836057229788e-05,475136000,7123.4,mla_current,42,100042,200042
15000,3.671750783920288,3.8003851624329883,6.068215059988e-05,491520000,7368.3,mla_current,42,100042,200042
