iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.921242866516113,0.005646192506731798,2.6257795810699465,0.1637827605009079,0.5366607582694389,0.0,0,40.6,mla,123,100123,200123
500,6.14352810382843,6.149065256118774,0.00553716451395303,6.176457201639812,0.0055599426951569815,2.2515827655792235,0.10866454988718033,0.27267802458835644,0.0001497,16384000,492.6,mla,123,100123,200123
1000,5.2379469871521,5.243659019470215,0.005712047452107072,5.297421169281006,0.005667925662516306,1.9155561685562135,0.10435536503791809,0.2511267274458625,0.00029969999999999997,32768000,942.3,mla,123,100123,200123
1500,4.782300114631653,4.787959337234497,0.00565932341851294,4.858202654520671,0.005626218175360312,1.8375564098358155,0.10156809538602829,0.24188569795038095,0.0004496999999999999,49152000,1393.6,mla,123,100123,200123
2000,4.492648720741272,4.498240113258362,0.005591403925791383,4.553830453554789,0.0055883355702583985,1.8674946784973145,0.10576172173023224,0.23547761428002154,0.0005996999999999999,65536000,1842.9,mla,123,100123,200123
2500,4.3309327363967896,4.336532831192017,0.00559998641256243,4.361546188990275,0.005599847656364242,1.885327410697937,0.10515635460615158,0.2451301692058832,0.0005981266088736952,81920000,2296.0,mla,123,100123,200123
3000,4.201897025108337,4.207421064376831,0.005523968255147338,4.266014180978139,0.0055937134761673704,1.874789261817932,0.10540059208869934,0.25904061300191067,0.0005925175294683882,98304000,2745.2,mla,123,100123,200123
3500,4.146976709365845,4.152500152587891,0.005523411091417074,4.188425019979477,0.005601903760495285,1.848006796836853,0.10713602602481842,0.2605925111558137,0.0005832509032072879,114688000,3196.6,mla,123,100123,200123
4000,4.116011738777161,4.121596813201904,0.0055850917706266046,4.1317870604991915,0.005626868875697255,1.8317151308059691,0.10679453611373901,0.25184411965765763,0.0005704558381153472,131072000,3645.7,mla,123,100123,200123
4500,3.9951701164245605,4.000778377056122,0.00560827658046037,4.0895351342360176,0.005626663034005711,1.8089588403701782,0.10776408016681671,0.2623086792270841,0.0005543106024788456,147456000,4098.6,mla,123,100123,200123
5000,4.033140122890472,4.038781404495239,0.005641221767291427,4.045530772606532,0.005637644509940098,1.7895706653594972,0.10858164727687836,0.24906450079659628,0.000535040141107975,163840000,4548.0,mla,123,100123,200123
