iter,attn_mode,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mla,123,1,0,0.10431935638189316,0.07765419781208038,2.632845640182495
0,mla,123,1,1,0.037108562886714935,0.058678627014160156,2.632845640182495
0,mla,123,1,2,0.032876383513212204,0.051719799637794495,2.632845640182495
0,mla,123,1,3,0.11171498894691467,0.07851487398147583,2.632845640182495
0,mla,123,1,4,0.049584146589040756,0.05856308713555336,2.632845640182495
0,mla,123,1,5,0.03387593477964401,0.051577646285295486,2.632845640182495
0,mla,123,1,6,0.06576995551586151,0.06240143999457359,2.632845640182495
0,mla,123,1,7,0.08527831733226776,0.06708765774965286,2.632845640182495
0,mla,123,1,8,0.08761098235845566,0.06976176053285599,2.632845640182495
0,mla,123,1,9,0.10781259834766388,0.07588622719049454,2.632845640182495
0,mla,123,1,10,0.013371378183364868,0.04292827844619751,2.632845640182495
0,mla,123,1,11,0.0591544583439827,0.06659254431724548,2.632845640182495
0,mla,123,1,12,0.03349802643060684,0.05433047562837601,2.632845640182495
0,mla,123,1,13,0.07954437285661697,0.0632883608341217,2.632845640182495
0,mla,123,1,14,0.03492258861660957,0.055117759853601456,2.632845640182495
0,mla,123,1,15,0.0635579451918602,0.06589709967374802,2.632845640182495
0,mla,123,2,0,0.07155853509902954,0.06598419696092606,2.632122755050659
0,mla,123,2,1,0.05579732358455658,0.06025509536266327,2.632122755050659
0,mla,123,2,2,0.08017110079526901,0.06825839728116989,2.632122755050659
0,mla,123,2,3,0.059929098933935165,0.06372838467359543,2.632122755050659
0,mla,123,2,4,0.05887207016348839,0.06465112417936325,2.632122755050659
0,mla,123,2,5,0.08410277962684631,0.06598208844661713,2.632122755050659
0,mla,123,2,6,0.03789998218417168,0.053586311638355255,2.632122755050659
0,mla,123,2,7,0.08206797391176224,0.07220781594514847,2.632122755050659
0,mla,123,2,8,0.04423980787396431,0.05917336791753769,2.632122755050659
0,mla,123,2,9,0.051179200410842896,0.06182156875729561,2.632122755050659
0,mla,123,2,10,0.031142577528953552,0.04807056114077568,2.632122755050659
0,mla,123,2,11,0.025398457422852516,0.048320818692445755,2.632122755050659
0,mla,123,2,12,0.1097882091999054,0.07643231749534607,2.632122755050659
0,mla,123,2,13,0.10066884011030197,0.07495363801717758,2.632122755050659
0,mla,123,2,14,0.03652374446392059,0.04740850627422333,2.632122755050659
0,mla,123,2,15,0.070660300552845,0.06916576623916626,2.632122755050659
0,mla,123,3,0,0.03468627855181694,0.05890370160341263,2.6255176067352295
0,mla,123,3,1,0.05165364593267441,0.06167982146143913,2.6255176067352295
0,mla,123,3,2,0.03141215071082115,0.052935682237148285,2.6255176067352295
0,mla,123,3,3,0.0518912747502327,0.062076129019260406,2.6255176067352295
0,mla,123,3,4,0.10840657353401184,0.07607568055391312,2.6255176067352295
0,mla,123,3,5,0.026745706796646118,0.050061941146850586,2.6255176067352295
0,mla,123,3,6,0.04087422788143158,0.0555403009057045,2.6255176067352295
0,mla,123,3,7,0.015059203840792179,0.045744650065898895,2.6255176067352295
0,mla,123,3,8,0.008721618913114071,0.0465746708214283,2.6255176067352295
0,mla,123,3,9,0.1518082618713379,0.08712327480316162,2.6255176067352295
0,mla,123,3,10,0.09271342307329178,0.07285664230585098,2.6255176067352295
0,mla,123,3,11,0.07878570258617401,0.0635867789387703,2.6255176067352295
0,mla,123,3,12,0.05353281646966934,0.060997504740953445,2.6255176067352295
0,mla,123,3,13,0.12941467761993408,0.085163414478302,2.6255176067352295
0,mla,123,3,14,0.07407328486442566,0.06446439027786255,2.6255176067352295
0,mla,123,3,15,0.05022114887833595,0.05621553957462311,2.6255176067352295
0,mla,123,4,0,0.025112710893154144,0.04369461536407471,2.6151769161224365
0,mla,123,4,1,0.10152048617601395,0.07477831840515137,2.6151769161224365
0,mla,123,4,2,0.0486786924302578,0.05940613895654678,2.6151769161224365
0,mla,123,4,3,0.03201151639223099,0.050253599882125854,2.6151769161224365
0,mla,123,4,4,0.08507028967142105,0.06892940402030945,2.6151769161224365
0,mla,123,4,5,0.12029876559972763,0.07772420346736908,2.6151769161224365
0,mla,123,4,6,0.03263437747955322,0.054112523794174194,2.6151769161224365
