iter,attn_mode,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mha_rope,456,1,0,0.026668498292565346,0.05237971246242523,2.6166977882385254
0,mha_rope,456,1,1,0.012759908102452755,0.04345603287220001,2.6166977882385254
0,mha_rope,456,1,2,0.07895304262638092,0.0686655342578888,2.6166977882385254
0,mha_rope,456,1,3,0.0879981517791748,0.07388048619031906,2.6166977882385254
0,mha_rope,456,1,4,0.12619821727275848,0.08325567841529846,2.6166977882385254
0,mha_rope,456,1,5,0.08177663385868073,0.07558887451887131,2.6166977882385254
0,mha_rope,456,1,6,0.1619485467672348,0.09108809381723404,2.6166977882385254
0,mha_rope,456,1,7,0.023081054911017418,0.05182458832859993,2.6166977882385254
0,mha_rope,456,1,8,0.0989900752902031,0.07474198937416077,2.6166977882385254
0,mha_rope,456,1,9,0.019138386473059654,0.04702647030353546,2.6166977882385254
0,mha_rope,456,1,10,0.01058197021484375,0.043151676654815674,2.6166977882385254
0,mha_rope,456,1,11,0.07862935215234756,0.06739543378353119,2.6166977882385254
0,mha_rope,456,1,12,0.029960021376609802,0.050609469413757324,2.6166977882385254
0,mha_rope,456,1,13,0.014628905802965164,0.0454464927315712,2.6166977882385254
0,mha_rope,456,1,14,0.11476247012615204,0.07825257629156113,2.6166977882385254
0,mha_rope,456,1,15,0.03392476215958595,0.05323687195777893,2.6166977882385254
0,mha_rope,456,2,0,0.06868540495634079,0.06783049553632736,2.620969533920288
0,mha_rope,456,2,1,0.019999288022518158,0.04878874123096466,2.620969533920288
0,mha_rope,456,2,2,0.12520019710063934,0.08128795027732849,2.620969533920288
0,mha_rope,456,2,3,0.014370422810316086,0.04387926310300827,2.620969533920288
0,mha_rope,456,2,4,0.023005269467830658,0.051869116723537445,2.620969533920288
0,mha_rope,456,2,5,0.017299499362707138,0.04714389890432358,2.620969533920288
0,mha_rope,456,2,6,0.10257792472839355,0.07707684487104416,2.620969533920288
0,mha_rope,456,2,7,0.10272389650344849,0.0762389600276947,2.620969533920288
0,mha_rope,456,2,8,0.04762613773345947,0.05983898788690567,2.620969533920288
0,mha_rope,456,2,9,0.021562296897172928,0.049286358058452606,2.620969533920288
0,mha_rope,456,2,10,0.25046244263648987,0.11235915869474411,2.620969533920288
0,mha_rope,456,2,11,0.06837056577205658,0.06823141127824783,2.620969533920288
0,mha_rope,456,2,12,0.03780171647667885,0.057171765714883804,2.620969533920288
0,mha_rope,456,2,13,0.049059346318244934,0.058993663638830185,2.620969533920288
0,mha_rope,456,2,14,0.02706553228199482,0.048636168241500854,2.620969533920288
0,mha_rope,456,2,15,0.024190062656998634,0.05136735737323761,2.620969533920288
0,mha_rope,456,3,0,0.033907774835824966,0.05485684052109718,2.62357234954834
0,mha_rope,456,3,1,0.03162241727113724,0.05033807456493378,2.62357234954834
0,mha_rope,456,3,2,0.1305607110261917,0.08653344213962555,2.62357234954834
0,mha_rope,456,3,3,0.018537700176239014,0.047522157430648804,2.62357234954834
0,mha_rope,456,3,4,0.042822979390621185,0.05619150772690773,2.62357234954834
