iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.912324231465657,0.00567360505151252,2.6253721714019775,0.16347432136535645,0.5624000246198618,0.0,0,40.6,mla,456,100456,200456
500,6.114732623100281,6.120223164558411,0.0054905497236177325,6.152365295092265,0.005511898988236984,2.224296474456787,0.09988901764154434,0.26490657466429024,0.0001497,16384000,493.9,mla,456,100456,200456
1000,5.314443111419678,5.320142388343811,0.005699329660274088,5.287056730588277,0.005615421022133281,1.8344247817993165,0.09136759489774704,0.22399911887839002,0.00029969999999999997,32768000,943.8,mla,456,100456,200456
1500,4.8001463413238525,4.805737853050232,0.005591398919932544,4.821372001965841,0.005635069031268358,1.7618863344192506,0.10111124813556671,0.24043376640827457,0.0004496999999999999,49152000,1396.1,mla,456,100456,200456
2000,4.469172954559326,4.4747384786605835,0.005565582774579525,4.518291860421499,0.00563991922341908,1.805173397064209,0.10409342497587204,0.24780075498877566,0.0005996999999999999,65536000,1846.3,mla,456,100456,200456
2500,4.35051155090332,4.3561729192733765,0.0056613622000440955,4.35775323788325,0.005609232427086681,1.8150891304016112,0.10824106633663177,0.23284143212071706,0.0005981266088736952,81920000,2301.0,mla,456,100456,200456
3000,4.179485559463501,4.1850221157073975,0.0055366287706419826,4.244997519254684,0.005615967891644686,1.802332353591919,0.11109334230422974,0.24572328136968116,0.0005925175294683882,98304000,2751.3,mla,456,100456,200456
3500,4.185986399650574,4.1916468143463135,0.0056603720877319574,4.174194448788961,0.0056437667948193845,1.7895687818527222,0.1098422259092331,0.24444879439063336,0.0005832509032072879,114688000,3203.5,mla,456,100456,200456
4000,4.013385891914368,4.019031584262848,0.0056456446181982756,4.120912984212239,0.005633927682259431,1.776664400100708,0.11032959073781967,0.23542021795371712,0.0005704558381153472,131072000,3653.8,mla,456,100456,200456
4500,4.089595437049866,4.095261812210083,0.005666390643455088,4.0756224393844604,0.005680154127379259,1.7566377878189088,0.11048278957605362,0.24340130727356132,0.0005543106024788456,147456000,4107.4,mla,456,100456,200456
5000,4.023512840270996,4.029137492179871,0.005624679732136428,4.035506228208542,0.005660646201577037,1.752282166481018,0.10874796658754349,0.24353226701168224,0.000535040141107975,163840000,4557.8,mla,456,100456,200456
5500,3.9164865016937256,3.9221413135528564,0.0056547007989138365,4.0131268509229026,0.005661069939378649,1.7427263259887695,0.11116353422403336,0.23743642723505404,0.0005129129412749549,180224000,5010.2,mla,456,100456,200456
6000,3.935068130493164,3.9407188296318054,0.005650733481161296,3.9791655365626015,0.0056531064802159865,1.7244500875473023,0.1095307394862175,0.24369211333516017,0.00048823729199324884,196608000,5460.5,mla,456,100456,200456
6500,3.9288687109947205,3.9346113801002502,0.005742683773860335,3.9430152730147046,0.005679201735959699,1.7099067211151122,0.10971639305353165,0.2313018784008969,0.00046135698875578174,212992000,5914.1,mla,456,100456,200456
7000,3.8810216784477234,3.886572539806366,0.005550908390432596,3.9207367448012036,0.005679108849726618,1.698409104347229,0.11100168526172638,0.2354305796574403,0.000432646543576239,229376000,6364.4,mla,456,100456,200456
7500,3.8487412333488464,3.8543604016304016,0.005619160016067326,3.9001011006037394,0.005695925621936718,1.681697678565979,0.11258076876401901,0.2490742351316114,0.00040250596706994045,245760000,6816.6,mla,456,100456,200456
8000,3.9001206755638123,3.9057812690734863,0.005660573369823396,3.8886173383394875,0.0056700440860974295,1.6784394264221192,0.11214029788970947,0.22061639129626487,0.00037135519527336944,262144000,7266.7,mla,456,100456,200456
8500,3.7670035362243652,3.772649109363556,0.005645589786581695,3.8604758318265278,0.005677692514533798,1.6716106414794922,0.1125379428267479,0.23454881651722453,0.00033962823885115036,278528000,7720.3,mla,456,100456,200456
9000,3.6929770708084106,3.698617160320282,0.005640115821734071,3.833894692659378,0.005695352784823626,1.6654052495956422,0.11307027190923691,0.22900358070672594,0.00030776713620712216,294912000,8170.6,mla,456,100456,200456
9500,3.7216602563858032,3.7274325489997864,0.005772321484982967,3.8153223574161528,0.00567720163303117,1.6620918035507202,0.11027506738901138,0.22576753990085768,0.0002762157947482825,311296000,8622.7,mla,456,100456,200456
10000,3.775217115879059,3.780879855155945,0.005662729847244918,3.794837751785914,0.005667497715912759,1.653626298904419,0.11079426854848862,0.22547773104417085,0.00024541380610869324,327680000,9072.7,mla,456,100456,200456
10500,3.762902617454529,3.7685933709144592,0.0056907410034909844,3.7748984360694884,0.005688496575846027,1.6456010818481446,0.11201446503400803,0.22910792986077064,0.00021579032150324256,344064000,9526.7,mla,456,100456,200456
11000,3.706666648387909,3.7123271822929382,0.005660509457811713,3.7694409676392873,0.005695834392681718,1.6392677545547485,0.1109510287642479,0.22973244598365725,0.0001877580725433998,360448000,9976.6,mla,456,100456,200456
11500,3.6735448837280273,3.6792718172073364,0.0057269156677648425,3.7495482488473257,0.005681336777439962,1.6366461038589477,0.11113901436328888,0.23489978884166723,0.00016170762082042857,376832000,10428.7,mla,456,100456,200456
12000,3.677699029445648,3.6834696531295776,0.005770639516413212,3.729045596520106,0.005698661517817527,1.6328870058059692,0.11163736879825592,0.22799083564045683,0.0001380019163742152,393216000,10878.8,mla,456,100456,200456
12500,3.529762625694275,3.5355659127235413,0.005803280626423657,3.7186514802773796,0.005687578475723664,1.6321281671524048,0.11223714053630829,0.22684419808727024,0.00011697124086228238,409600000,11332.4,mla,456,100456,200456
13000,3.525668501853943,3.531363844871521,0.005695346859283745,3.705564961036046,0.005688406626383463,1.628318476676941,0.11178965121507645,0.21977073295139204,9.890860588370181e-05,425984000,11782.5,mla,456,100456,200456
13500,3.618391752243042,3.6240060329437256,0.005614228313788772,3.7002498670419057,0.005672194494400174,1.6230457782745362,0.11117258667945862,0.22412932566513746,8.406567057113034e-05,442368000,12234.3,mla,456,100456,200456
14000,3.6192007064819336,3.6248477697372437,0.005647025303915143,3.700333057244619,0.005682625571886699,1.6215583562850953,0.1121661365032196,0.22687904291878275,7.264923532945212e-05,458752000,12683.6,mla,456,100456,200456
14500,3.5499640703201294,3.5555976033210754,0.0056334922555834055,3.686293461720149,0.005686879650844882,1.618644690513611,0.11109843105077744,0.22720790564398827,6.481836057229788e-05,475136000,13136.3,mla,456,100456,200456
15000,3.637271285057068,3.6428526043891907,0.005581374745815992,3.673778446515401,0.005685012874503931,1.620969820022583,0.11215301603078842,0.22441714314640535,6.068215059988e-05,491520000,13585.7,mla,456,100456,200456
