iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.93859895070394,0.008232675689893464,2.614497184753418,0.24128295481204987,0.7395604396114278,0.0,0,36.1,nan,5.173828125,mha,moe,456,100456,200456
500,6.048708558082581,6.054462790489197,0.005754200043156743,6.1056141710281375,0.005861528058691571,2.070469856262207,0.13303223252296448,0.3574736250010099,0.0001497,16384000,388.1,42213.14355878858,8.595703125,mha,moe,456,100456,200456
1000,5.258007764816284,5.2640063762664795,0.005998661508783698,5.274688367843628,0.005891375881619751,1.7366694450378417,0.10438110679388046,0.2995381118864343,0.00029969999999999997,32768000,739.2,44331.47574880561,9.146484375,mha,moe,456,100456,200456
1500,4.748176336288452,4.754059314727783,0.00588293478358537,4.812019055684408,0.005871449551389863,1.7178632497787476,0.11088988929986954,0.311938206598613,0.0004496999999999999,49152000,1090.2,45083.94089635199,9.19921875,mha,moe,456,100456,200456
2000,4.457847356796265,4.4636945724487305,0.005847292952239513,4.547697060902913,0.00580665882366399,1.728452730178833,0.10967285186052322,0.3051712988816494,0.0005996999999999999,65536000,1440.2,45504.181636371766,9.19921875,mha,moe,456,100456,200456
2500,4.334207057952881,4.34006130695343,0.005854217917658389,4.382952463626862,0.005829075744065146,1.729211950302124,0.12044433504343033,0.3021445381698772,0.0005981266088736952,81920000,1791.0,45740.75306757663,9.19921875,mha,moe,456,100456,200456
3000,4.21586811542511,4.2216373682022095,0.005769238690845668,4.281900842984517,0.005781539940120032,1.7070557355880738,0.11713134497404099,0.30133581693050704,0.0005925175294683882,98304000,2141.0,45914.96491524383,9.19921875,mha,moe,456,100456,200456
3500,4.128535985946655,4.134295225143433,0.005759159452281892,4.192407330671946,0.005804467669222504,1.7026800632476806,0.11697997897863388,0.2905810837306501,0.0005832509032072879,114688000,2491.7,46027.12912047548,9.19921875,mha,moe,456,100456,200456
4000,4.022171795368195,4.028032004833221,0.005860304809175432,4.135912459294001,0.005825243428504715,1.6779030084609985,0.1231982409954071,0.30254348476427523,0.0005704558381153472,131072000,2841.6,46125.95647168982,9.19921875,mha,moe,456,100456,200456
4500,4.0434486865997314,4.049268007278442,0.0058192783035337925,4.083643877108892,0.005776552360815306,1.6789924144744872,0.11365356296300888,0.2858866377149941,0.0005543106024788456,147456000,3192.3,46190.8957318239,9.19921875,mha,moe,456,100456,200456
5000,4.059367060661316,4.065167605876923,0.005800556857138872,4.042922910054525,0.005790109124500304,1.6646852493286133,0.12001586705446243,0.2836983665697959,0.000535040141107975,163840000,3542.6,46249.15429964141,9.19921875,mha,moe,456,100456,200456
5500,3.9509538412094116,3.956917703151703,0.00596392119769007,4.0171458792686465,0.005798830553734054,1.6659992933273315,0.12111816555261612,0.28509965933777226,0.0005129129412749549,180224000,3893.8,46284.79025682049,9.19921875,mha,moe,456,100456,200456
6000,4.002039551734924,4.007773756980896,0.0057341697392985225,3.9876569437980653,0.0057719140135062234,1.6527019500732423,0.12244994938373566,0.2928438104771228,0.00048823729199324884,196608000,4243.7,46329.65267401231,9.19921875,mha,moe,456,100456,200456
6500,3.9075748324394226,3.9133360981941223,0.005761283449828625,3.944971738656362,0.005782057289810231,1.6486138105392456,0.12442626804113388,0.28201901683813235,0.00046135698875578174,212992000,4594.4,46359.00764536478,9.19921875,mha,moe,456,100456,200456
7000,3.877053737640381,3.8828535676002502,0.00579971494153142,3.925687519311905,0.005792173667189975,1.6410511016845704,0.1245434582233429,0.28970242981962546,0.000432646543576239,229376000,4944.4,46390.87320577436,9.19921875,mha,moe,456,100456,200456
7500,3.874923527240753,3.880614936351776,0.005691487924195826,3.9039446568489073,0.005758741700556129,1.6448583841323852,0.12187988311052322,0.2756787078099081,0.00040250596706994045,245760000,5295.4,46410.41988999011,9.19921875,mha,moe,456,100456,200456
8000,3.8165361285209656,3.8223202228546143,0.005784053821116686,3.8878069202105205,0.005759345383072893,1.6388083696365356,0.12416747957468033,0.26917628153905176,0.00037135519527336944,262144000,5645.4,46434.87451714088,9.19921875,mha,moe,456,100456,200456
8500,3.7882251739501953,3.794088363647461,0.0058631954016163945,3.8640543425083163,0.005757899125261853,1.624947190284729,0.11968261748552322,0.2765808210103488,0.00033962823885115036,278528000,5996.0,46452.05421048054,9.19921875,mha,moe,456,100456,200456
9000,3.7655794620513916,3.7714646458625793,0.005885153543204069,3.839296077887217,0.005784796155057848,1.6223313093185425,0.124420166015625,0.28622916567550066,0.00030776713620712216,294912000,6346.0,46472.30779383856,9.19921875,mha,moe,456,100456,200456
9500,3.6753270626068115,3.681057572364807,0.005730505101382732,3.8165064442157743,0.005746077303774655,1.6245188474655152,0.12248535454273224,0.26341735358371887,0.0002762157947482825,311296000,6696.7,46485.16602571449,9.19921875,mha,moe,456,100456,200456
10000,3.7552689909934998,3.760999381542206,0.00573038449510932,3.801351532936096,0.005757016050629318,1.6255562067031861,0.12322021275758743,0.26612203607737817,0.00024541380610869324,327680000,7046.6,46501.77375358655,9.19921875,mha,moe,456,100456,200456
10500,3.657424032688141,3.6632378697395325,0.005813847645185888,3.7744689738750457,0.0057508893893100325,1.6228524923324585,0.12193725258111954,0.25976318673864285,0.00021579032150324256,344064000,7397.9,46508.447823226285,9.19921875,mha,moe,456,100456,200456
11000,3.6902948021888733,3.696187973022461,0.00589314301032573,3.7702792572975157,0.0057516723033040765,1.6213374137878418,0.12134155631065369,0.2564792421887995,0.0001877580725433998,360448000,7747.7,46523.46908472183,9.19921875,mha,moe,456,100456,200456
11500,3.747643291950226,3.7533897757530212,0.005746512557379901,3.749899727900823,0.005732875490405907,1.6235963106155396,0.12067138403654099,0.2611486208286494,0.00016170762082042857,376832000,8098.5,46530.81290445236,9.19921875,mha,moe,456,100456,200456
12000,3.772662401199341,3.7783764004707336,0.0057139507262036204,3.728537182410558,0.005754815929879745,1.618643832206726,0.11879394203424454,0.24560772871790268,0.0001380019163742152,393216000,8448.4,46543.066389204694,9.19921875,mha,moe,456,100456,200456
12500,3.6796265840530396,3.6853166222572327,0.0056899694027379155,3.721060861349106,0.005743792209153374,1.6125020503997802,0.1204833984375,0.2555364441877489,0.00011697124086228238,409600000,8799.4,46548.71055158708,9.19921875,mha,moe,456,100456,200456
13000,3.5494547486305237,3.5551666021347046,0.005711875855922699,3.713217176993688,0.005735830788034945,1.6104621410369873,0.12022094428539276,0.24751558436515286,9.890860588370181e-05,425984000,9149.4,46558.65649771078,9.19921875,mha,moe,456,100456,200456
13500,3.5039462447166443,3.509722948074341,0.005776693462394178,3.7056653074423473,0.0057330934346343084,1.6213807821273805,0.12107910215854645,0.23943970953164948,8.406567057113034e-05,442368000,9500.5,46562.758015433035,9.19921875,mha,moe,456,100456,200456
14000,3.6596906781196594,3.6653255224227905,0.0056347905192524195,3.7020748213926953,0.005735526729840785,1.6144654273986816,0.12043823301792145,0.24450229658172945,7.264923532945212e-05,458752000,9850.7,46570.41618079567,9.19921875,mha,moe,456,100456,200456
14500,3.5825805068016052,3.5883697867393494,0.00578927795868367,3.6924588743845623,0.005723466714068005,1.6119144916534425,0.12009155005216599,0.24502688342473533,6.481836057229788e-05,475136000,10201.7,46574.414454311715,9.19921875,mha,moe,456,100456,200456
15000,3.5701867938041687,3.5759188532829285,0.005732078687287867,3.67719561457634,0.005728552838166555,1.6092034816741942,0.12119384855031967,0.2515956554359472,6.068215059988e-05,491520000,10551.7,46581.8826133994,9.19921875,mha,moe,456,100456,200456
