iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,10.913937454223634,0.0,0,0.0,mla_deepseek,456,100456,200456
500,6.162832021713257,6.203881743748982,0.0001497,16384000,237.8,mla_deepseek,456,100456,200456
1000,5.42471444606781,5.411236879825592,0.00029969999999999997,32768000,454.8,mla_deepseek,456,100456,200456
1500,4.8948235511779785,4.915382119019826,0.0004496999999999999,49152000,671.8,mla_deepseek,456,100456,200456
2000,4.597136378288269,4.626076676050822,0.0005996999999999999,65536000,888.7,mla_deepseek,456,100456,200456
2500,4.4625102281570435,4.463622385660807,0.0005981266088736952,81920000,1105.7,mla_deepseek,456,100456,200456
3000,4.277662396430969,4.345805861949921,0.0005925175294683882,98304000,1322.6,mla_deepseek,456,100456,200456
3500,4.294122815132141,4.276053516070048,0.0005832509032072879,114688000,1539.6,mla_deepseek,456,100456,200456
4000,4.128677487373352,4.223324363231659,0.0005704558381153472,131072000,1757.3,mla_deepseek,456,100456,200456
4500,4.200075745582581,4.1759091567993165,0.0005543106024788456,147456000,1977.1,mla_deepseek,456,100456,200456
5000,4.125131607055664,4.140933198928833,0.000535040141107975,163840000,2194.6,mla_deepseek,456,100456,200456
5500,4.027515411376953,4.115813926060994,0.0005129129412749549,180224000,2413.0,mla_deepseek,456,100456,200456
6000,4.033468425273895,4.087412143150965,0.00048823729199324884,196608000,2630.0,mla_deepseek,456,100456,200456
6500,4.056165099143982,4.050840313434601,0.00046135698875578174,212992000,2847.0,mla_deepseek,456,100456,200456
7000,4.006515622138977,4.028636585871379,0.000432646543576239,229376000,3064.0,mla_deepseek,456,100456,200456
7500,3.9727177023887634,4.010328532457351,0.00040250596706994045,245760000,3281.0,mla_deepseek,456,100456,200456
8000,4.011711120605469,4.001501325368881,0.00037135519527336944,262144000,3498.0,mla_deepseek,456,100456,200456
8500,3.891649544239044,3.9722037835915884,0.00033962823885115036,278528000,3715.3,mla_deepseek,456,100456,200456
9000,3.815881609916687,3.947296379407247,0.00030776713620712216,294912000,3932.3,mla_deepseek,456,100456,200456
9500,3.849906802177429,3.9302790864308674,0.0002762157947482825,311296000,4149.6,mla_deepseek,456,100456,200456
10000,3.90370774269104,3.908590836127599,0.00024541380610869324,327680000,4366.6,mla_deepseek,456,100456,200456
10500,3.887014091014862,3.8903043631712597,0.00021579032150324256,344064000,4587.0,mla_deepseek,456,100456,200456
11000,3.825151205062866,3.8853844316800434,0.0001877580725433998,360448000,4837.6,mla_deepseek,456,100456,200456
11500,3.8079837560653687,3.866289749145508,0.00016170762082042857,376832000,5058.7,mla_deepseek,456,100456,200456
12000,3.8015998005867004,3.84715527455012,0.0001380019163742152,393216000,5275.8,mla_deepseek,456,100456,200456
12500,3.6538875699043274,3.8372405564785,0.00011697124086228238,409600000,5492.8,mla_deepseek,456,100456,200456
13000,3.6605405807495117,3.8249889012177785,9.890860588370181e-05,425984000,5709.8,mla_deepseek,456,100456,200456
13500,3.748611271381378,3.819567734003067,8.406567057113034e-05,442368000,5926.8,mla_deepseek,456,100456,200456
14000,3.7571665048599243,3.819536255200704,7.264923532945212e-05,458752000,6143.8,mla_deepseek,456,100456,200456
14500,3.6868420839309692,3.805107646783193,6.481836057229788e-05,475136000,6360.8,mla_deepseek,456,100456,200456
15000,3.7669717669487,3.7941358506679537,6.068215059988e-05,491520000,6577.8,mla_deepseek,456,100456,200456
