iter,attn_mode,backbone,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mha_decoupled,moe,123,1,0,0.04582519456744194,0.05889416113495827,2.633610248565674
0,mha_decoupled,moe,123,1,1,0.05841430649161339,0.06292137503623962,2.633610248565674
0,mha_decoupled,moe,123,1,2,0.05925659090280533,0.06395956873893738,2.633610248565674
0,mha_decoupled,moe,123,1,3,0.11453491449356079,0.07669495046138763,2.633610248565674
0,mha_decoupled,moe,123,1,4,0.13935424387454987,0.08295821398496628,2.633610248565674
0,mha_decoupled,moe,123,1,5,0.04422241076827049,0.05728021264076233,2.633610248565674
0,mha_decoupled,moe,123,1,6,0.08230957388877869,0.06866683810949326,2.633610248565674
0,mha_decoupled,moe,123,1,7,0.020643310621380806,0.04833616688847542,2.633610248565674
0,mha_decoupled,moe,123,1,8,0.056572265923023224,0.06328751891851425,2.633610248565674
0,mha_decoupled,moe,123,1,9,0.052039794623851776,0.0600278340280056,2.633610248565674
0,mha_decoupled,moe,123,1,10,0.05138916149735451,0.059478823095560074,2.633610248565674
0,mha_decoupled,moe,123,1,11,0.02878662198781967,0.05194327235221863,2.633610248565674
0,mha_decoupled,moe,123,1,12,0.03565307706594467,0.051728084683418274,2.633610248565674
0,mha_decoupled,moe,123,1,13,0.06706298887729645,0.06533423811197281,2.633610248565674
0,mha_decoupled,moe,123,1,14,0.06868774443864822,0.06243898347020149,2.633610248565674
0,mha_decoupled,moe,123,1,15,0.07524780184030533,0.0660497397184372,2.633610248565674
0,mha_decoupled,moe,123,2,0,0.09742675721645355,0.07394815981388092,2.6296725273132324
0,mha_decoupled,moe,123,2,1,0.047325439751148224,0.058475762605667114,2.6296725273132324
0,mha_decoupled,moe,123,2,2,0.03627319261431694,0.056063566356897354,2.6296725273132324
0,mha_decoupled,moe,123,2,3,0.02385864220559597,0.04565158486366272,2.6296725273132324
0,mha_decoupled,moe,123,2,4,0.030573731288313866,0.051887501031160355,2.6296725273132324
0,mha_decoupled,moe,123,2,5,0.03484131023287773,0.052973438054323196,2.6296725273132324
0,mha_decoupled,moe,123,2,6,0.053840331733226776,0.06237756833434105,2.6296725273132324
0,mha_decoupled,moe,123,2,7,0.18269042670726776,0.09508760273456573,2.6296725273132324
0,mha_decoupled,moe,123,2,8,0.054658204317092896,0.06092928722500801,2.6296725273132324
0,mha_decoupled,moe,123,2,9,0.04148559644818306,0.05398986488580704,2.6296725273132324
0,mha_decoupled,moe,123,2,10,0.03373779356479645,0.05408913642168045,2.6296725273132324
0,mha_decoupled,moe,123,2,11,0.054472655057907104,0.06167079508304596,2.6296725273132324
0,mha_decoupled,moe,123,2,12,0.09850219637155533,0.07349161803722382,2.6296725273132324
0,mha_decoupled,moe,123,2,13,0.06618285924196243,0.06485401839017868,2.6296725273132324
0,mha_decoupled,moe,123,2,14,0.06188720837235451,0.06439283490180969,2.6296725273132324
0,mha_decoupled,moe,123,2,15,0.0822436511516571,0.07011730223894119,2.6296725273132324
0,mha_decoupled,moe,123,3,0,0.1528918445110321,0.08855386823415756,2.613356351852417
0,mha_decoupled,moe,123,3,1,0.010649413801729679,0.04104537516832352,2.613356351852417
0,mha_decoupled,moe,123,3,2,0.054444581270217896,0.060942746698856354,2.613356351852417
0,mha_decoupled,moe,123,3,3,0.02744384855031967,0.05032634362578392,2.613356351852417
0,mha_decoupled,moe,123,3,4,0.1069628894329071,0.07715966552495956,2.613356351852417
0,mha_decoupled,moe,123,3,5,0.012351074256002903,0.03727703168988228,2.613356351852417
0,mha_decoupled,moe,123,3,6,0.11515258997678757,0.08012799173593521,2.613356351852417
0,mha_decoupled,moe,123,3,7,0.053050536662340164,0.06356427073478699,2.613356351852417
0,mha_decoupled,moe,123,3,8,0.1356848180294037,0.08526777476072311,2.613356351852417
0,mha_decoupled,moe,123,3,9,0.09258423000574112,0.0741804912686348,2.613356351852417
0,mha_decoupled,moe,123,3,10,0.02449951134622097,0.05115741118788719,2.613356351852417
