iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,10.908687807718913,0.0,0,0.0,mha,123,100123,200123
500,6.144652485847473,6.169217140674591,0.0001497,16384000,221.0,mha,123,100123,200123
1000,5.324116468429565,5.371898850599925,0.00029969999999999997,32768000,422.6,mha,123,100123,200123
1500,4.773711085319519,4.8576098871231075,0.0004496999999999999,49152000,624.1,mha,123,100123,200123
2000,4.5429065227508545,4.599364384015401,0.0005996999999999999,65536000,825.7,mha,123,100123,200123
2500,4.397201657295227,4.423704158465068,0.0005981266088736952,81920000,1027.2,mha,123,100123,200123
3000,4.268122434616089,4.328032517433167,0.0005925175294683882,98304000,1228.8,mha,123,100123,200123
3500,4.217460036277771,4.2527878717581435,0.0005832509032072879,114688000,1430.3,mha,123,100123,200123
4000,4.190080165863037,4.196905511220296,0.0005704558381153472,131072000,1631.8,mha,123,100123,200123
4500,4.0763325691223145,4.158231794436773,0.0005543106024788456,147456000,1833.4,mha,123,100123,200123
5000,4.100451588630676,4.114381153583526,0.000535040141107975,163840000,2034.9,mha,123,100123,200123
5500,4.120011687278748,4.091243920723597,0.0005129129412749549,180224000,2237.0,mha,123,100123,200123
6000,4.014830470085144,4.064127393166224,0.00048823729199324884,196608000,2438.5,mha,123,100123,200123
6500,3.925310730934143,4.031536923646927,0.00046135698875578174,212992000,2640.5,mha,123,100123,200123
7000,3.9624997973442078,4.00720800002416,0.000432646543576239,229376000,2842.1,mha,123,100123,200123
7500,3.9724575877189636,3.9858578046162925,0.00040250596706994045,245760000,3043.6,mha,123,100123,200123
8000,3.92538583278656,3.9595689296722414,0.00037135519527336944,262144000,3245.2,mha,123,100123,200123
8500,3.7592745423316956,3.941803388595581,0.00033962823885115036,278528000,3446.8,mha,123,100123,200123
9000,3.83504056930542,3.931746549606323,0.00030776713620712216,294912000,3648.3,mha,123,100123,200123
9500,3.824512004852295,3.9033597819010417,0.0002762157947482825,311296000,3849.9,mha,123,100123,200123
10000,3.863546311855316,3.893970937728882,0.00024541380610869324,327680000,4051.5,mha,123,100123,200123
10500,3.885316014289856,3.8720013773441315,0.00021579032150324256,344064000,4253.6,mha,123,100123,200123
11000,3.860615611076355,3.8474977481365205,0.0001877580725433998,360448000,4455.1,mha,123,100123,200123
11500,3.76203852891922,3.84174164891243,0.00016170762082042857,376832000,4656.7,mha,123,100123,200123
12000,3.684281826019287,3.8232597617308297,0.0001380019163742152,393216000,4858.2,mha,123,100123,200123
12500,3.8274847269058228,3.820176521539688,0.00011697124086228238,409600000,5059.8,mha,123,100123,200123
13000,3.7311424612998962,3.80053693095843,9.890860588370181e-05,425984000,5261.3,mha,123,100123,200123
13500,3.7801390886306763,3.796689543326696,8.406567057113034e-05,442368000,5462.9,mha,123,100123,200123
14000,3.661384165287018,3.7873805399735767,7.264923532945212e-05,458752000,5664.4,mha,123,100123,200123
14500,3.66014164686203,3.7800834782918296,6.481836057229788e-05,475136000,5865.9,mha,123,100123,200123
15000,3.6677202582359314,3.781680997610092,6.068215059988e-05,491520000,6067.5,mha,123,100123,200123
