iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.945778528849283,0.0006,0,0.0,mla,123
500,6.224315643310547,6.207325635751088,0.0001497,16384000,231.2,mla,123
1000,5.406496047973633,5.397559711138407,0.00029969999999999997,32768000,442.3,mla,123
1500,4.913343071937561,4.947192417780558,0.0004496999999999999,49152000,653.5,mla,123
2000,4.518051505088806,4.641612860361735,0.0005996999999999999,65536000,864.7,mla,123
2500,4.3899747133255005,4.464725828965505,0.0005981266088736952,81920000,1075.8,mla,123
3000,4.343055367469788,4.347140281200409,0.0005925175294683882,98304000,1287.0,mla,123
3500,4.203325390815735,4.273777663707733,0.0005832509032072879,114688000,1498.1,mla,123
4000,4.215669751167297,4.218523942232132,0.0005704558381153472,131072000,1709.2,mla,123
4500,4.077966868877411,4.179888356129329,0.0005543106024788456,147456000,1920.3,mla,123
5000,4.102750182151794,4.13851037422816,0.000535040141107975,163840000,2131.4,mla,123
5500,4.004128158092499,4.113257581392924,0.0005129129412749549,180224000,2343.1,mla,123
6000,3.9380717277526855,4.077570360501607,0.00048823729199324884,196608000,2554.2,mla,123
6500,4.063992023468018,4.050211958487829,0.00046135698875578174,212992000,2765.4,mla,123
7000,3.983915865421295,4.031844965616862,0.000432646543576239,229376000,2976.5,mla,123
7500,3.8905717730522156,4.005110664367676,0.00040250596706994045,245760000,3187.7,mla,123
8000,4.014611482620239,3.9942588929335274,0.00037135519527336944,262144000,3398.9,mla,123
8500,3.951109290122986,3.966276825666428,0.00033962823885115036,278528000,3610.1,mla,123
9000,3.862667977809906,3.9419463336467744,0.00030776713620712216,294912000,3821.2,mla,123
9500,3.8547171354293823,3.9330372361342114,0.0002762157947482825,311296000,4032.4,mla,123
10000,3.863349974155426,3.9005933010578158,0.00024541380610869324,327680000,4243.6,mla,123
10500,3.8126060366630554,3.8971756998697917,0.00021579032150324256,344064000,4455.3,mla,123
11000,3.7750980257987976,3.876448656320572,0.0001877580725433998,360448000,4666.5,mla,123
11500,3.8115316033363342,3.861182744105657,0.00016170762082042857,376832000,4877.6,mla,123
12000,3.7312326431274414,3.8536427326997122,0.0001380019163742152,393216000,5088.8,mla,123
12500,3.8226406574249268,3.8366377568244934,0.00011697124086228238,409600000,5300.0,mla,123
13000,3.697557210922241,3.819523142973582,9.890860588370181e-05,425984000,5511.1,mla,123
13500,3.7901962995529175,3.8114090236028035,8.406567057113034e-05,442368000,5722.3,mla,123
14000,3.722439229488373,3.8059221522013345,7.264923532945212e-05,458752000,5933.5,mla,123
14500,3.746120810508728,3.799374330441157,6.481836057229788e-05,475136000,6144.7,mla,123
15000,3.7727270126342773,3.805443668762843,6.068215059988e-05,491520000,6355.9,mla,123
