iter,attn_mode,backbone,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mla_coupled,moe,456,1,0,0.03749755769968033,0.05458543449640274,2.628491163253784
0,mla_coupled,moe,456,1,1,0.04707153141498566,0.05866735056042671,2.628491163253784
0,mla_coupled,moe,456,1,2,0.09017334133386612,0.07022611051797867,2.628491163253784
0,mla_coupled,moe,456,1,3,0.08967284858226776,0.07192881405353546,2.628491163253784
0,mla_coupled,moe,456,1,4,0.04347778484225273,0.05328793451189995,2.628491163253784
0,mla_coupled,moe,456,1,5,0.06712402403354645,0.06899064034223557,2.628491163253784
0,mla_coupled,moe,456,1,6,0.07625243812799454,0.06721732020378113,2.628491163253784
0,mla_coupled,moe,456,1,7,0.07068847864866257,0.0643642470240593,2.628491163253784
0,mla_coupled,moe,456,1,8,0.05994628742337227,0.06406833231449127,2.628491163253784
0,mla_coupled,moe,456,1,9,0.06943237036466599,0.06068204343318939,2.628491163253784
0,mla_coupled,moe,456,1,10,0.07033447176218033,0.06783612817525864,2.628491163253784
0,mla_coupled,moe,456,1,11,0.0839245617389679,0.07002560794353485,2.628491163253784
0,mla_coupled,moe,456,1,12,0.04954467713832855,0.0586019903421402,2.628491163253784
0,mla_coupled,moe,456,1,13,0.04464111477136612,0.05341213196516037,2.628491163253784
0,mla_coupled,moe,456,1,14,0.04455810412764549,0.05445949733257294,2.628491163253784
0,mla_coupled,moe,456,1,15,0.05566040053963661,0.061646394431591034,2.628491163253784
0,mla_coupled,moe,456,2,0,0.036497801542282104,0.05642695352435112,2.626370906829834
0,mla_coupled,moe,456,2,1,0.05028930678963661,0.05975661426782608,2.626370906829834
0,mla_coupled,moe,456,2,2,0.09542114287614822,0.07375533133745193,2.626370906829834
0,mla_coupled,moe,456,2,3,0.06184326112270355,0.06153128296136856,2.626370906829834
0,mla_coupled,moe,456,2,4,0.0739758312702179,0.06707991659641266,2.626370906829834
0,mla_coupled,moe,456,2,5,0.03303588926792145,0.05231349915266037,2.626370906829834
0,mla_coupled,moe,456,2,6,0.03539184480905533,0.052684370428323746,2.626370906829834
0,mla_coupled,moe,456,2,7,0.06867919862270355,0.06807096302509308,2.626370906829834
0,mla_coupled,moe,456,2,8,0.10586059838533401,0.07411760091781616,2.626370906829834
0,mla_coupled,moe,456,2,9,0.0839855968952179,0.06638170778751373,2.626370906829834
0,mla_coupled,moe,456,2,10,0.05463256686925888,0.06062403693795204,2.626370906829834
0,mla_coupled,moe,456,2,11,0.05725707858800888,0.058446839451789856,2.626370906829834
0,mla_coupled,moe,456,2,12,0.07763061672449112,0.0674431174993515,2.626370906829834
0,mla_coupled,moe,456,2,13,0.03807983547449112,0.052979979664087296,2.626370906829834
0,mla_coupled,moe,456,2,14,0.05504028499126434,0.059711530804634094,2.626370906829834
0,mla_coupled,moe,456,2,15,0.07237914949655533,0.06867622584104538,2.626370906829834
0,mla_coupled,moe,456,3,0,0.060548096895217896,0.06158412620425224,2.627488613128662
0,mla_coupled,moe,456,3,1,0.056812744587659836,0.05897554010152817,2.627488613128662
0,mla_coupled,moe,456,3,2,0.07088623195886612,0.06600743532180786,2.627488613128662
0,mla_coupled,moe,456,3,3,0.015870360657572746,0.046024344861507416,2.627488613128662
0,mla_coupled,moe,456,3,4,0.08008789271116257,0.07021801918745041,2.627488613128662
0,mla_coupled,moe,456,3,5,0.08184082061052322,0.06935849785804749,2.627488613128662
0,mla_coupled,moe,456,3,6,0.027468262240290642,0.049353718757629395,2.627488613128662
0,mla_coupled,moe,456,3,7,0.08698974549770355,0.07203264534473419,2.627488613128662
0,mla_coupled,moe,456,3,8,0.05281127989292145,0.05880783870816231,2.627488613128662
0,mla_coupled,moe,456,3,9,0.1279577612876892,0.08201851695775986,2.627488613128662
0,mla_coupled,moe,456,3,10,0.03342041000723839,0.05343208834528923,2.627488613128662
0,mla_coupled,moe,456,3,11,0.03291381895542145,0.05134616419672966,2.627488613128662
0,mla_coupled,moe,456,3,12,0.06446044892072678,0.06481707096099854,2.627488613128662
0,mla_coupled,moe,456,3,13,0.047233887016773224,0.05719846859574318,2.627488613128662
0,mla_coupled,moe,456,3,14,0.10695678740739822,0.07651295512914658,2.627488613128662
