iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.923946094512939,0.005827291216701269,2.6220821380615233,0.2136814445257187,0.6056686013409276,0.0,0,41.0,mla_norope,42,100042,200042
500,6.180642604827881,6.186180949211121,0.005538195255212486,6.182824055353801,0.005520510443020612,2.2345314502716063,0.0934956893324852,0.25215846266759134,0.0001497,16384000,489.0,mla_norope,42,100042,200042
1000,5.299874305725098,5.3054358959198,0.005561595782637596,5.333727676868438,0.005653868170144657,1.8762651681900024,0.1104881763458252,0.2443783636053242,0.00029969999999999997,32768000,934.5,mla_norope,42,100042,200042
1500,4.876300692558289,4.881891965866089,0.005591169116087258,4.916335735321045,0.005658118006152411,1.8245058536529541,0.10759948939085007,0.2697981428958457,0.0004496999999999999,49152000,1382.3,mla_norope,42,100042,200042
2000,4.6555259227752686,4.661158323287964,0.005632489454001188,4.678066691557566,0.005654270727342615,1.8561219215393066,0.11269164830446243,0.25269536516543756,0.0005996999999999999,65536000,1828.0,mla_norope,42,100042,200042
2500,4.438793897628784,4.44444477558136,0.005650967359542847,4.448787226676941,0.005654869213855515,1.897899341583252,0.11440439522266388,0.29552955580200246,0.0005981266088736952,81920000,2277.1,mla_norope,42,100042,200042
3000,4.351625323295593,4.357208490371704,0.005583108519203961,4.3220592800776165,0.0056384301270979145,1.9006453275680542,0.11922373622655869,0.2782550660433539,0.0005925175294683882,98304000,2722.6,mla_norope,42,100042,200042
3500,4.150344491004944,4.156025409698486,0.005680958973243833,4.235941272179286,0.005668400415064146,1.8855942249298097,0.1267714500427246,0.2772957727098493,0.0005832509032072879,114688000,3170.2,mla_norope,42,100042,200042
4000,4.145898222923279,4.1514750719070435,0.005576784955337644,4.1840281315644585,0.005659451061704506,1.8720447063446044,0.12027902901172638,0.26623281887615435,0.0005704558381153472,131072000,3615.8,mla_norope,42,100042,200042
4500,4.102210283279419,4.107844710350037,0.005634426372125745,4.129602563778559,0.005687402119704832,1.8518778085708618,0.12251821160316467,0.2730446875869045,0.0005543106024788456,147456000,4064.6,mla_norope,42,100042,200042
