iter,attn_mode,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mha,42,1,0,0.0714944452047348,0.06891027837991714,2.628858804702759
0,mha,42,1,1,0.04293243587017059,0.05782492458820343,2.628858804702759
0,mha,42,1,2,0.009092407301068306,0.041022587567567825,2.628858804702759
0,mha,42,1,3,0.031125081703066826,0.05339548736810684,2.628858804702759
0,mha,42,1,4,0.06075327470898628,0.0625547394156456,2.628858804702759
0,mha,42,1,5,0.15539968013763428,0.09032805263996124,2.628858804702759
0,mha,42,1,6,0.07659535855054855,0.06567882746458054,2.628858804702759
0,mha,42,1,7,0.05751708894968033,0.061521027237176895,2.628858804702759
0,mha,42,1,8,0.01940155029296875,0.04565957933664322,2.628858804702759
0,mha,42,1,9,0.10646077245473862,0.07672397792339325,2.628858804702759
0,mha,42,1,10,0.02969156950712204,0.045809779316186905,2.628858804702759
0,mha,42,1,11,0.07286316156387329,0.06545937806367874,2.628858804702759
0,mha,42,1,12,0.07529795169830322,0.06953155994415283,2.628858804702759
0,mha,42,1,13,0.029644368216395378,0.05705203488469124,2.628858804702759
0,mha,42,1,14,0.07525411248207092,0.06649355590343475,2.628858804702759
0,mha,42,1,15,0.08647674322128296,0.07203423231840134,2.628858804702759
0,mha,42,2,0,0.1065259799361229,0.07758712768554688,2.626703977584839
0,mha,42,2,1,0.09463094174861908,0.07472582906484604,2.626703977584839
0,mha,42,2,2,0.07584024965763092,0.07012099027633667,2.626703977584839
0,mha,42,2,3,0.04316161945462227,0.05800577625632286,2.626703977584839
0,mha,42,2,4,0.03948557376861572,0.05799749866127968,2.626703977584839
0,mha,42,2,5,0.012714437209069729,0.0443500280380249,2.626703977584839
0,mha,42,2,6,0.028018392622470856,0.05275294929742813,2.626703977584839
0,mha,42,2,7,0.015251465141773224,0.04496416077017784,2.626703977584839
0,mha,42,2,8,0.007292785681784153,0.0379338338971138,2.626703977584839
0,mha,42,2,9,0.05061045289039612,0.06459732353687286,2.626703977584839
0,mha,42,2,10,0.1978011131286621,0.09941656142473221,2.626703977584839
0,mha,42,2,11,0.021347451955080032,0.04839607700705528,2.626703977584839
0,mha,42,2,12,0.04849914461374283,0.0574733167886734,2.626703977584839
0,mha,42,2,13,0.07186553627252579,0.06700873374938965,2.626703977584839
0,mha,42,2,14,0.03650258481502533,0.05688690021634102,2.626703977584839
0,mha,42,2,15,0.15045227110385895,0.08778278529644012,2.626703977584839
0,mha,42,3,0,0.11714762449264526,0.07769817113876343,2.6390762329101562
0,mha,42,3,1,0.03182932361960411,0.05309484153985977,2.6390762329101562
0,mha,42,3,2,0.008435465395450592,0.03998666629195213,2.6390762329101562
0,mha,42,3,3,0.05383361876010895,0.06238241121172905,2.6390762329101562
0,mha,42,3,4,0.07199259102344513,0.06743334978818893,2.6390762329101562
0,mha,42,3,5,0.0479634590446949,0.060216229408979416,2.6390762329101562
0,mha,42,3,6,0.09118733555078506,0.0738144963979721,2.6390762329101562
0,mha,42,3,7,0.1626327484846115,0.08976662904024124,2.6390762329101562
0,mha,42,3,8,0.017797140404582024,0.04611307382583618,2.6390762329101562
0,mha,42,3,9,0.0532308965921402,0.06186803802847862,2.6390762329101562
0,mha,42,3,10,0.0837319940328598,0.07055366784334183,2.6390762329101562
0,mha,42,3,11,0.10060831904411316,0.07474517077207565,2.6390762329101562
0,mha,42,3,12,0.029055379331111908,0.050665125250816345,2.6390762329101562
0,mha,42,3,13,0.005162455141544342,0.03893843665719032,2.6390762329101562
0,mha,42,3,14,0.07510019838809967,0.06948848068714142,2.6390762329101562
0,mha,42,3,15,0.05029144138097763,0.06323504447937012,2.6390762329101562
0,mha,42,4,0,0.00650838203728199,0.03861428052186966,2.616621494293213
0,mha,42,4,1,0.24948374927043915,0.11217891424894333,2.616621494293213
0,mha,42,4,2,0.034655049443244934,0.05680776759982109,2.616621494293213
0,mha,42,4,3,0.03734486922621727,0.058005549013614655,2.616621494293213
0,mha,42,4,4,0.042581990361213684,0.05967475101351738,2.616621494293213
0,mha,42,4,5,0.024493612349033356,0.05523412674665451,2.616621494293213
0,mha,42,4,6,0.010772806592285633,0.0432293526828289,2.616621494293213
0,mha,42,4,7,0.20629090070724487,0.10395783185958862,2.616621494293213
0,mha,42,4,8,0.1143219992518425,0.07985994964838028,2.616621494293213
0,mha,42,4,9,0.07249288260936737,0.06859210878610611,2.616621494293213
0,mha,42,4,10,0.0025034586433321238,0.03263481706380844,2.616621494293213
0,mha,42,4,11,0.04758870601654053,0.06350858509540558,2.616621494293213
0,mha,42,4,12,0.07105865329504013,0.0679616928100586,2.616621494293213
0,mha,42,4,13,0.05328582599759102,0.06657372415065765,2.616621494293213
0,mha,42,4,14,0.013904113322496414,0.049062542617321014,2.616621494293213
0,mha,42,4,15,0.012713012285530567,0.044104043394327164,2.616621494293213
0,mha,42,5,0,0.17550039291381836,0.09245165437459946,2.6426591873168945
0,mha,42,5,1,0.038116455078125,0.05912090465426445,2.6426591873168945
0,mha,42,5,2,0.04980163648724556,0.061499956995248795,2.6426591873168945
0,mha,42,5,3,0.11527995020151138,0.07679934054613113,2.6426591873168945
0,mha,42,5,4,0.030270690098404884,0.04948567971587181,2.6426591873168945
0,mha,42,5,5,0.11369791626930237,0.07996024936437607,2.6426591873168945
0,mha,42,5,6,0.005608825478702784,0.03856813162565231,2.6426591873168945
0,mha,42,5,7,0.05390452221035957,0.062045007944107056,2.6426591873168945
0,mha,42,5,8,0.06611613184213638,0.06782158464193344,2.6426591873168945
0,mha,42,5,9,0.0064672851003706455,0.03681815043091774,2.6426591873168945
0,mha,42,5,10,0.03773081302642822,0.05442206561565399,2.6426591873168945
0,mha,42,5,11,0.11354552954435349,0.07868010550737381,2.6426591873168945
0,mha,42,5,12,0.029929708689451218,0.05847521498799324,2.6426591873168945
0,mha,42,5,13,0.06866933405399323,0.0673694759607315,2.6426591873168945
0,mha,42,5,14,0.07855397462844849,0.06926150619983673,2.6426591873168945
0,mha,42,5,15,0.016806844621896744,0.04722091555595398,2.6426591873168945
