iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.923490231831869,0.0,nan,nan,nan,0.0,0,20.3,nan,5.046875,mha,dense,123,100123,200123
500,6.067655801773071,6.067655801773071,0.0,6.138596163590749,0.0,nan,nan,nan,0.0001497,16384000,239.6,68384.30171288473,7.841796875,mha,dense,123,100123,200123
1000,5.287996172904968,5.287996172904968,0.0,5.343381311098734,0.0,nan,nan,nan,0.00029969999999999997,32768000,458.7,71435.99807720102,8.2109375,mha,dense,123,100123,200123
1500,4.794567704200745,4.794567704200745,0.0,4.903929863770803,0.0,nan,nan,nan,0.0004496999999999999,49152000,678.0,72500.7797078881,8.2109375,mha,dense,123,100123,200123
2000,4.647002100944519,4.647002100944519,0.0,4.625909562110901,0.0,nan,nan,nan,0.0005996999999999999,65536000,896.7,73085.41900210181,8.2109375,mha,dense,123,100123,200123
2500,4.359010696411133,4.359010696411133,0.0,4.4409152944882715,0.0,nan,nan,nan,0.0005981266088736952,81920000,1116.0,73403.82840421461,8.2109375,mha,dense,123,100123,200123
3000,4.297696232795715,4.297696232795715,0.0,4.335867683490117,0.0,nan,nan,nan,0.0005925175294683882,98304000,1334.7,73650.39092449966,8.2109375,mha,dense,123,100123,200123
3500,4.2018585205078125,4.2018585205078125,0.0,4.265268658796947,0.0,nan,nan,nan,0.0005832509032072879,114688000,1554.1,73798.74737897402,8.2109375,mha,dense,123,100123,200123
4000,4.056841731071472,4.056841731071472,0.0,4.201514730056127,0.0,nan,nan,nan,0.0005704558381153472,131072000,1772.8,73935.21918703432,8.2109375,mha,dense,123,100123,200123
4500,4.004362046718597,4.004362046718597,0.0,4.165719984372457,0.0,nan,nan,nan,0.0005543106024788456,147456000,1992.1,74021.78909813463,8.2109375,mha,dense,123,100123,200123
5000,4.040037453174591,4.040037453174591,0.0,4.116877595980962,0.0,nan,nan,nan,0.000535040141107975,163840000,2210.8,74109.75935189455,8.2109375,mha,dense,123,100123,200123
5500,4.045656621456146,4.045656621456146,0.0,4.084039891560872,0.0,nan,nan,nan,0.0005129129412749549,180224000,2430.0,74166.73911405269,8.2109375,mha,dense,123,100123,200123
6000,4.052924275398254,4.052924275398254,0.0,4.059877249399821,0.0,nan,nan,nan,0.00048823729199324884,196608000,2648.7,74227.79893486862,8.2109375,mha,dense,123,100123,200123
6500,3.916342616081238,3.916342616081238,0.0,4.03121001680692,0.0,nan,nan,nan,0.00046135698875578174,212992000,2868.4,74255.5100878074,8.2109375,mha,dense,123,100123,200123
7000,3.891042113304138,3.891042113304138,0.0,4.0018545850118,0.0,nan,nan,nan,0.000432646543576239,229376000,3087.1,74302.62937773064,8.2109375,mha,dense,123,100123,200123
7500,4.0123244524002075,4.0123244524002075,0.0,3.9810188965002697,0.0,nan,nan,nan,0.00040250596706994045,245760000,3306.3,74331.37578905863,8.2109375,mha,dense,123,100123,200123
8000,3.9139102697372437,3.9139102697372437,0.0,3.956412825981776,0.0,nan,nan,nan,0.00037135519527336944,262144000,3525.0,74367.50816717278,8.2109375,mha,dense,123,100123,200123
8500,3.909546911716461,3.909546911716461,0.0,3.933368486960729,0.0,nan,nan,nan,0.00033962823885115036,278528000,3744.3,74386.94220036827,8.2109375,mha,dense,123,100123,200123
9000,3.9236598014831543,3.9236598014831543,0.0,3.9231735169887543,0.0,nan,nan,nan,0.00030776713620712216,294912000,3963.0,74416.40840115574,8.2109375,mha,dense,123,100123,200123
9500,3.8922203183174133,3.8922203183174133,0.0,3.8941098189353944,0.0,nan,nan,nan,0.0002762157947482825,311296000,4182.2,74433.87550708318,8.2109375,mha,dense,123,100123,200123
10000,3.8510475158691406,3.8510475158691406,0.0,3.880290624698003,0.0,nan,nan,nan,0.00024541380610869324,327680000,4400.9,74457.31392509126,8.2109375,mha,dense,123,100123,200123
10500,3.8389304280281067,3.8389304280281067,0.0,3.86383229970932,0.0,nan,nan,nan,0.00021579032150324256,344064000,4620.4,74466.30381580729,8.2109375,mha,dense,123,100123,200123
11000,3.7815971970558167,3.7815971970558167,0.0,3.842373554309209,0.0,nan,nan,nan,0.0001877580725433998,360448000,4839.1,74486.2111360201,8.2109375,mha,dense,123,100123,200123
11500,3.7829463481903076,3.7829463481903076,0.0,3.829433640241623,0.0,nan,nan,nan,0.00016170762082042857,376832000,5058.5,74495.51480291825,8.2109375,mha,dense,123,100123,200123
12000,3.7438172698020935,3.7438172698020935,0.0,3.8105312331517536,0.0,nan,nan,nan,0.0001380019163742152,393216000,5277.2,74512.87219890612,8.2109375,mha,dense,123,100123,200123
12500,3.7630575299263,3.7630575299263,0.0,3.808282260100047,0.0,nan,nan,nan,0.00011697124086228238,409600000,5496.4,74521.96143819611,8.2109375,mha,dense,123,100123,200123
13000,3.774008274078369,3.774008274078369,0.0,3.791718289454778,0.0,nan,nan,nan,9.890860588370181e-05,425984000,5715.1,74536.34137789485,8.2109375,mha,dense,123,100123,200123
13500,3.7593992352485657,3.7593992352485657,0.0,3.7866803991794584,0.0,nan,nan,nan,8.406567057113034e-05,442368000,5934.3,74544.06170180783,8.2109375,mha,dense,123,100123,200123
14000,3.6716920733451843,3.6716920733451843,0.0,3.7725807523727415,0.0,nan,nan,nan,7.264923532945212e-05,458752000,6153.0,74557.0568752565,8.2109375,mha,dense,123,100123,200123
14500,3.7067847847938538,3.7067847847938538,0.0,3.773552526632945,0.0,nan,nan,nan,6.481836057229788e-05,475136000,6372.4,74561.28048469851,8.2109375,mha,dense,123,100123,200123
15000,3.664783477783203,3.664783477783203,0.0,3.773251740137736,0.0,nan,nan,nan,6.068215059988e-05,491520000,6591.5,74568.51562090842,8.2109375,mha,dense,123,100123,200123
