iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.922276446024577,0.0006,0,0.0,mha_rope,456
500,6.150140643119812,6.172995494206746,0.0001497,16384000,223.4,mha_rope,456
1000,5.385385632514954,5.358573785622915,0.00029969999999999997,32768000,427.4,mha_rope,456
1500,4.844738006591797,4.836340207258861,0.0004496999999999999,49152000,631.5,mha_rope,456
2000,4.577415227890015,4.580405322710673,0.0005996999999999999,65536000,835.6,mha_rope,456
2500,4.465614080429077,4.425795551935832,0.0005981266088736952,81920000,1039.7,mha_rope,456
3000,4.27041757106781,4.308552418549856,0.0005925175294683882,98304000,1243.8,mha_rope,456
3500,4.076449751853943,4.24583323041598,0.0005832509032072879,114688000,1448.0,mha_rope,456
4000,4.1474902629852295,4.192594044208526,0.0005704558381153472,131072000,1652.1,mha_rope,456
4500,4.108087182044983,4.1480291306972505,0.0005543106024788456,147456000,1856.1,mha_rope,456
5000,4.133777976036072,4.116376624504725,0.000535040141107975,163840000,2060.2,mha_rope,456
5500,4.00460410118103,4.0838240778446195,0.0005129129412749549,180224000,2264.8,mha_rope,456
6000,4.00506204366684,4.058559294144312,0.00048823729199324884,196608000,2468.8,mha_rope,456
6500,3.9532167315483093,4.02602139433225,0.00046135698875578174,212992000,2672.9,mha_rope,456
7000,3.9234806299209595,3.9973985330263773,0.000432646543576239,229376000,2876.9,mha_rope,456
7500,3.9488624334335327,3.9758957624435425,0.00040250596706994045,245760000,3081.0,mha_rope,456
8000,3.9019832611083984,3.9528722425301868,0.00037135519527336944,262144000,3285.0,mha_rope,456
8500,3.9355695843696594,3.941466548840205,0.00033962823885115036,278528000,3489.1,mha_rope,456
9000,3.8723087310791016,3.9208491043249767,0.00030776713620712216,294912000,3693.1,mha_rope,456
9500,3.772433578968048,3.9027355778217316,0.0002762157947482825,311296000,3897.1,mha_rope,456
10000,3.738589584827423,3.8792727744579314,0.00024541380610869324,327680000,4101.2,mha_rope,456
10500,3.8141127228736877,3.8583046972751616,0.00021579032150324256,344064000,4305.8,mha_rope,456
11000,3.842197895050049,3.846718020439148,0.0001877580725433998,360448000,4509.8,mha_rope,456
11500,3.8168349862098694,3.8313747596740724,0.00016170762082042857,376832000,4713.9,mha_rope,456
12000,3.765923023223877,3.8166637070973715,0.0001380019163742152,393216000,4917.9,mha_rope,456
12500,3.757437229156494,3.802435286839803,0.00011697124086228238,409600000,5121.9,mha_rope,456
13000,3.733296275138855,3.796954284509023,9.890860588370181e-05,425984000,5326.0,mha_rope,456
13500,3.718607783317566,3.7809262752532957,8.406567057113034e-05,442368000,5530.0,mha_rope,456
14000,3.7166672945022583,3.776529173453649,7.264923532945212e-05,458752000,5734.1,mha_rope,456
14500,3.7598583698272705,3.766072508494059,6.481836057229788e-05,475136000,5938.1,mha_rope,456
15000,3.6506803035736084,3.7653383282820383,6.068215059988e-05,491520000,6142.2,mha_rope,456
