iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,10.914980265299478,0.0,0,0.0,mha,42,100042,200042
500,6.1779844760894775,6.1715254211425785,0.0001497,16384000,241.6,mha,42,100042,200042
1000,5.359532475471497,5.386707073847453,0.00029969999999999997,32768000,446.2,mha,42,100042,200042
1500,4.856331706047058,4.875837432543436,0.0004496999999999999,49152000,667.5,mha,42,100042,200042
2000,4.590567231178284,4.60602965037028,0.0005996999999999999,65536000,880.3,mha,42,100042,200042
2500,4.414833426475525,4.438127506573995,0.0005981266088736952,81920000,1082.7,mha,42,100042,200042
3000,4.351703524589539,4.327042440573375,0.0005925175294683882,98304000,1287.0,mha,42,100042,200042
3500,4.171819448471069,4.251416873137156,0.0005832509032072879,114688000,1489.2,mha,42,100042,200042
4000,4.163360238075256,4.208546990553538,0.0005704558381153472,131072000,1691.0,mha,42,100042,200042
4500,4.140589952468872,4.156429047981898,0.0005543106024788456,147456000,1892.9,mha,42,100042,200042
5000,4.036928117275238,4.118582259416581,0.000535040141107975,163840000,2094.7,mha,42,100042,200042
5500,4.134991765022278,4.090968671242396,0.0005129129412749549,180224000,2297.1,mha,42,100042,200042
6000,3.9914783239364624,4.066455638806025,0.00048823729199324884,196608000,2498.9,mha,42,100042,200042
6500,3.9265114068984985,4.03823394536972,0.00046135698875578174,212992000,2700.7,mha,42,100042,200042
7000,3.861820101737976,4.015823251008987,0.000432646543576239,229376000,2902.5,mha,42,100042,200042
7500,3.8844907879829407,3.989910154342651,0.00040250596706994045,245760000,3104.3,mha,42,100042,200042
8000,3.8769943714141846,3.9697513294219973,0.00037135519527336944,262144000,3306.1,mha,42,100042,200042
8500,3.975411057472229,3.9416735700766243,0.00033962823885115036,278528000,3507.9,mha,42,100042,200042
9000,3.989193379878998,3.9274442374706267,0.00030776713620712216,294912000,3709.8,mha,42,100042,200042
9500,3.8308517932891846,3.906980486710866,0.0002762157947482825,311296000,3911.6,mha,42,100042,200042
10000,3.8252601623535156,3.886843058268229,0.00024541380610869324,327680000,4113.4,mha,42,100042,200042
10500,3.7942875623703003,3.862755570014318,0.00021579032150324256,344064000,4315.8,mha,42,100042,200042
11000,3.856501042842865,3.8672537823518116,0.0001877580725433998,360448000,4517.6,mha,42,100042,200042
11500,3.5817164182662964,3.8372727676232654,0.00016170762082042857,376832000,4719.4,mha,42,100042,200042
12000,3.7903595566749573,3.8280679551760355,0.0001380019163742152,393216000,4921.2,mha,42,100042,200042
12500,3.728068172931671,3.809373943010966,0.00011697124086228238,409600000,5155.6,mha,42,100042,200042
13000,3.74806147813797,3.8012666368484496,9.890860588370181e-05,425984000,5394.2,mha,42,100042,200042
13500,3.7468947768211365,3.793946059544881,8.406567057113034e-05,442368000,5632.7,mha,42,100042,200042
14000,3.7930190563201904,3.7799078321456907,7.264923532945212e-05,458752000,5871.2,mha,42,100042,200042
14500,3.7145073413848877,3.785877810716629,6.481836057229788e-05,475136000,6109.6,mha,42,100042,200042
15000,3.653521239757538,3.783355848391851,6.068215059988e-05,491520000,6348.5,mha,42,100042,200042
