iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.93465035120646,0.0,nan,nan,nan,0.0,0,20.7,nan,5.046875,mha,dense,42,100042,200042
500,6.169580817222595,6.169580817222595,0.0,6.140119439760844,0.0,nan,nan,nan,0.0001497,16384000,242.0,67716.07079370644,7.841796875,mha,dense,42,100042,200042
1000,5.249758720397949,5.249758720397949,0.0,5.332748033205668,0.0,nan,nan,nan,0.00029969999999999997,32768000,461.3,71033.18510188763,8.2109375,mha,dense,42,100042,200042
1500,4.8263949155807495,4.8263949155807495,0.0,4.879231221675873,0.0,nan,nan,nan,0.0004496999999999999,49152000,680.5,72224.67835974458,8.2109375,mha,dense,42,100042,200042
2000,4.547756552696228,4.547756552696228,0.0,4.611194117069244,0.0,nan,nan,nan,0.0005996999999999999,65536000,899.3,72874.87737376598,8.2109375,mha,dense,42,100042,200042
2500,4.441645622253418,4.441645622253418,0.0,4.441437966028849,0.0,nan,nan,nan,0.0005981266088736952,81920000,1118.7,73228.41752665484,8.2109375,mha,dense,42,100042,200042
3000,4.20544159412384,4.20544159412384,0.0,4.3312005647023515,0.0,nan,nan,nan,0.0005925175294683882,98304000,1338.4,73451.15354941749,8.2109375,mha,dense,42,100042,200042
3500,4.330251336097717,4.330251336097717,0.0,4.259659748474757,0.0,nan,nan,nan,0.0005832509032072879,114688000,1557.6,73630.89061242704,8.2109375,mha,dense,42,100042,200042
4000,4.209871053695679,4.209871053695679,0.0,4.204221115509669,0.0,nan,nan,nan,0.0005704558381153472,131072000,1776.3,73789.1216772098,8.2109375,mha,dense,42,100042,200042
4500,4.051453590393066,4.051453590393066,0.0,4.155664387543996,0.0,nan,nan,nan,0.0005543106024788456,147456000,1995.5,73893.79372784139,8.2109375,mha,dense,42,100042,200042
5000,4.12322473526001,4.12322473526001,0.0,4.114383535782496,0.0,nan,nan,nan,0.000535040141107975,163840000,2214.2,73995.4263906581,8.2109375,mha,dense,42,100042,200042
5500,4.036721467971802,4.036721467971802,0.0,4.0885060286521915,0.0,nan,nan,nan,0.0005129129412749549,180224000,2433.4,74063.36497329907,8.2109375,mha,dense,42,100042,200042
6000,3.8926799297332764,3.8926799297332764,0.0,4.054867306947708,0.0,nan,nan,nan,0.00048823729199324884,196608000,2652.1,74133.35798313736,8.2109375,mha,dense,42,100042,200042
6500,3.944472849369049,3.944472849369049,0.0,4.035648863712947,0.0,nan,nan,nan,0.00046135698875578174,212992000,2871.3,74180.26733581189,8.2109375,mha,dense,42,100042,200042
7000,3.97400039434433,3.97400039434433,0.0,4.006271243890127,0.0,nan,nan,nan,0.000432646543576239,229376000,3091.3,74200.01518210929,8.2109375,mha,dense,42,100042,200042
7500,3.8382133841514587,3.8382133841514587,0.0,3.981646078427633,0.0,nan,nan,nan,0.00040250596706994045,245760000,3324.7,73920.44401232923,8.2109375,mha,dense,42,100042,200042
8000,3.8554014563560486,3.8554014563560486,0.0,3.9606538144747416,0.0,nan,nan,nan,0.00037135519527336944,262144000,3555.4,73730.88195746137,8.2109375,mha,dense,42,100042,200042
8500,3.7859798073768616,3.7859798073768616,0.0,3.940457593202591,0.0,nan,nan,nan,0.00033962823885115036,278528000,3787.4,73540.0702443636,8.2109375,mha,dense,42,100042,200042
9000,3.928661048412323,3.928661048412323,0.0,3.9237938368320466,0.0,nan,nan,nan,0.00030776713620712216,294912000,4017.8,73401.96943555526,8.2109375,mha,dense,42,100042,200042
